Color,Luminance
0.0,0.033
1.0,396.323
0.5,87.149
0.25,19.139
0.125,4.075
0.0625,1.104
0.03125,0.231
0.046875,0.352
0.0546875,0.73
0.05859375,0.594
0.060546875,0.64
0.0615234375,1.009
