size,color,repeat,Y,x,y
16,0.19150951094247873,1,11.261,0.2805,0.2933
16,0.3946681412529161,1,54.982,0.2294544240039044,2.62393497819865e-16
16,0.8133431125873235,1,264.993,0.2294544240039044,2.62393497819865e-16
full,0.4376179965934659,0,54.616,0.2828,0.2926
full,0.3946681412529161,1,47.458,0.2823,0.293
full,0.15576294172003172,0,6.534,0.2795,0.2939
0.5,0.05544126201879391,0,0.607,0.2725,0.296
16,0.06147467068473124,0,0.727,0.2711,0.2933
full,0.10304139447451709,0,2.26,0.2775,0.293
full,0.5380484445259031,0,69.783,0.2827,0.2921
16,0.7335178556285477,1,214.985,0.2839,0.2913
0.5,0.3210006144457002,1,34.966,0.007123838074614803,8.146492700740882e-18
16,0.049999999999999996,1,0.535,0.2294544240039044,2.62393497819865e-16
full,0.23545968236365628,0,16.788,0.2817,0.2929
0.5,0.5966016958353019,0,136.887,0.007123838074614803,8.146492700740882e-18
16,0.12668871584432848,0,3.994,0.2788,0.2919
0.5,0.23545968236365628,1,17.389,0.2812,0.2933
16,0.05544126201879391,0,0.557,0.2704,0.293
0.5,0.19150951094247873,1,11.095,0.007123838074614803,8.146492700740882e-18
full,0.8133431125873235,1,144.658,0.2832,0.2911
full,0.2894961286567438,1,25.914,0.2823,0.2936
0.5,0.3946681412529161,1,54.887,0.007123838074614803,8.146492700740882e-18
full,0.8133431125873235,0,144.738,0.2832,0.2911
0.5,0.6615270187932356,0,173.819,0.007123838074614803,8.146492700740882e-18
16,0.4852418802655602,1,86.254,0.2294544240039044,2.62393497819865e-16
16,0.09292843517846627,0,1.863,0.2773,0.2958
full,0.7335178556285477,0,115.37,0.2831,0.2916
full,0.08380800850724197,1,1.253,0.2762,0.2896
0.5,0.09292843517846627,1,1.886,0.007123838074614803,8.146492700740882e-18
full,0.3210006144457002,1,31.993,0.2823,0.293
16,0.901855372322704,0,319.674,0.2839,0.2907
0.5,0.049999999999999996,1,0.547,0.007123838074614803,8.146492700740882e-18
0.5,1.0,0,409.329,0.2838,0.2899
0.5,0.08380800850724197,0,1.325,0.2788,0.2904
full,0.21235057950506092,1,13.334,0.2804,0.2923
0.5,0.4376179965934659,0,69.54,0.2828,0.292
0.5,0.5380484445259031,1,108.502,0.283,0.2912
16,0.21235057950506092,1,13.559,0.2294544240039044,2.62393497819865e-16
full,0.5380484445259031,1,69.694,0.2827,0.2921
full,0.11425489899687216,0,2.958,0.2772,0.2908
full,0.10304139447451709,1,2.224,0.2774,0.2916
full,0.4376179965934659,1,54.083,0.2828,0.2929
16,0.3559335834735583,0,43.165,0.2294544240039044,2.62393497819865e-16
full,0.07558270271592309,1,0.979,0.2764,0.2954
full,0.6615270187932356,1,92.266,0.2833,0.2925
16,0.17271388129436815,0,8.318,0.2294544240039044,2.62393497819865e-16
16,0.06816466649902507,1,0.792,0.2773,0.2967
0.5,0.4852418802655602,0,86.109,0.007123838074614803,8.146492700740882e-18
16,0.10304139447451709,1,2.291,0.2294544240039044,2.62393497819865e-16
0.5,0.08380800850724197,1,1.301,0.007123838074614803,8.146492700740882e-18
16,0.5380484445259031,0,107.933,0.2294544240039044,2.62393497819865e-16
0.5,0.14047564579899893,0,5.32,0.2803,0.2952
full,1.0,1,200.688,0.2841,0.292
full,0.3559335834735583,1,39.158,0.2826,0.2927
16,0.3210006144457002,1,34.54,0.2294544240039044,2.62393497819865e-16
0.5,0.7335178556285477,0,215.505,0.007123838074614803,8.146492700740882e-18
16,0.11425489899687216,1,3.029,0.2294544240039044,2.62393497819865e-16
full,0.09292843517846627,1,1.8,0.2776,0.2967
16,0.7335178556285477,0,213.634,0.2839,0.2913
full,0.14047564579899893,1,5.164,0.2799,0.2951
0.5,0.12668871584432848,1,4.006,0.2791,0.292
full,0.901855372322704,1,182.221,0.2839,0.2916
16,0.5966016958353019,0,135.823,0.2833,0.2913
full,0.07558270271592309,0,0.985,0.2757,0.2981
full,0.05544126201879391,1,0.549,0.2703,0.2956
16,0.15576294172003172,0,6.572,0.2294544240039044,2.62393497819865e-16
16,0.4376179965934659,1,69.171,0.2828,0.292
16,0.17271388129436815,1,8.319,0.2796,0.2926
full,0.05544126201879391,0,0.541,0.2705,0.2915
16,0.07558270271592309,1,1.004,0.2736,0.2944
16,0.12668871584432848,1,3.944,0.2294544240039044,2.62393497819865e-16
full,1.0,0,200.797,0.2841,0.292
full,0.06816466649902507,1,0.777,0.2774,0.2965
full,0.2610836388957092,1,20.868,0.2819,0.2926
full,0.6615270187932356,0,92.32,0.2833,0.2924
16,0.3559335834735583,1,43.189,0.2826,0.2927
16,0.4852418802655602,0,85.991,0.2294544240039044,2.62393497819865e-16
0.5,0.2894961286567438,0,27.345,0.007123838074614803,8.146492700740882e-18
0.5,0.5380484445259031,0,108.518,0.2831,0.2912
0.5,0.21235057950506092,1,13.616,0.2805,0.2921
full,0.21235057950506092,0,13.255,0.2803,0.2922
0.5,0.12668871584432848,0,3.996,0.2789,0.2916
full,0.12668871584432848,1,3.846,0.2788,0.2916
0.5,0.2610836388957092,1,21.898,0.2825,0.2941
16,0.901855372322704,1,318.788,0.2294544240039044,2.62393497819865e-16
full,0.7335178556285477,1,115.41,0.2831,0.2915
full,0.3946681412529161,0,47.099,0.2823,0.2929
full,0.11425489899687216,1,2.959,0.2775,0.2908
full,0.06147467068473124,0,0.683,0.2741,0.2934
16,0.07558270271592309,0,1.004,0.2765,0.296
16,0.09292843517846627,1,1.844,0.2769,0.2946
full,0.09292843517846627,0,1.792,0.2775,0.2951
0.5,0.15576294172003172,1,6.628,0.007123838074614803,8.146492700740882e-18
full,0.4852418802655602,0,61.133,0.2831,0.2927
16,0.08380800850724197,0,1.28,0.2774,0.2908
full,0.5966016958353019,1,76.988,0.2829,0.2919
full,0.06816466649902507,0,0.767,0.2782,0.2972
0.5,0.06147467068473124,0,0.734,0.2761,0.2963
full,0.3210006144457002,0,31.856,0.2824,0.2929
0.5,0.11425489899687216,1,3.042,0.2778,0.2904
