Size_Degree,VRR_Frequency,FRR,Luminance,Luminance_high,Luminance_low,C_t,C_t_high,C_t_low
0.5,0.5,0.5,0.473839594256053,0.499798688204478,0.473839594256053,0.0571636583569491,0.0571636583569491,0.0536307171986557
1,0.5,0.5,0.473839594256053,1.08816178256755,0.473839594256053,0.0571636583569491,0.0571636583569491,0.0182656708256131
16,0.5,0.5,1.7495254400674,1.8809322748143,1.62808059460162,0.0082685424082766,0.00936340046591471,0.00729358110982843
-1,0.5,0.5,1.79115529411521,2.02914740443805,1.45251916888411,0.00793843731170404,0.0113813375534911,0.0063988595160767
0.5,2,2,1.26817007403456,1.37898576966237,1.04724231994386,0.0134269211837545,0.0182869760334224,0.0116923966431442
1,2,2,1.92438241980772,2.27710161479505,1.7222464663463,0.00680085638810195,0.00810518227306728,0.00534152971299271
16,2,2,2.29529425257293,2.38780818602425,2.20036003326693,0.00528630415009417,0.00559284964850337,0.00502878573552768
-1,2,2,2.92122092152275,3.16153468700652,2.6586091604795,0.0040967269138993,0.00445897488448944,0.00387553510677294
0.5,4,4,1.53835347763504,1.6366759295249,1.42989529522047,0.00825531699656467,0.00943148814827808,0.00738073914604693
1,4,4,1.16369184937439,1.56519469326482,0.958851965632335,0.0136675374517713,0.0190442332251752,0.0080001608040522
16,4,4,2.98689531745407,3.67649280320188,2.73759174005366,0.00346983216658307,0.00363118190032972,0.00342930886698732
-1,4,4,2.13732756429782,2.28642332844764,1.95948146651747,0.00474472532554514,0.0054171687659489,0.00433157203938409
0.5,8,8,1.9070851080976,2.03090253533075,1.75531979763629,0.00308386960877207,0.0039848004657738,0.00251745538446953
1,8,8,2.86107588510736,3.08659824314568,2.64994478803292,0.000917374686257997,0.00108565287729022,0.000837932846419105
16,8,8,3.39463254765423,3.65542008040329,2.23987547068085,0.000843729903471698,0.00182025571812914,0.000843729903471698
-1,8,8,2.75763451219327,2.94007349974293,2.59769239892735,0.000986469697768142,0.0011452495026959,0.000879467582959193
