Block_ID,VRR_Frequency,Observer_color_value,Size_Degree,Repeat_ID
0,2.0,0.0752305962230274,1,0
1,8.0,0.095644484696175,16,0
2,0.5,0.0647789031607435,0.5,0
3,4.0,0.0955724393747179,16,0
4,2.0,0.0942883760279041,16,0
5,4.0,0.0814999999999999,0.5,0
6,8.0,0.0653443633213014,0.5,0
7,0.5,0.1389999999999999,full,0
8,0.5,0.0869999999999999,16,0
10,8.0,0.0759999999999999,1,0
11,4.0,0.109780205250593,full,0
12,0.5,0.0659999999999998,1,0
13,4.0,0.074218358961554,1,0
14,2.0,0.0644999999999998,0.5,0
15,2.0,0.1134999999999999,full,0
4,8.0,0.1319999999999999,full,0
0,10.0,0.0724239251180551,0.5,0
1,12.0,0.06050000000000002,0.5,0
3,14.0,0.11285495879676746,16,0
5,12.0,0.11950000000000006,full,0
7,16.0,0.11820847775753333,16,0
8,16.0,0.06350000000000001,1,0
12,10.0,0.11049230386519612,full,0
14,10.0,0.06000000000000002,1,0
19,10.0,0.10650000000000005,16,0
20,14.0,0.12200000000000007,full,0
23,14.0,0.06250000000000001,1,0
24,16.0,0.05100000000000001,0.5,0
25,16.0,0.11872814704990671,full,0
26,12.0,0.07179002586278131,1,0
28,14.0,0.05200000000000001,0.5,0
29,12.0,0.09400000000000004,16,0
