Size_Degree,VRR_Frequency,FRR,Luminance,Luminance_high,Luminance_low,Sensitivity,Sensitivity_high,Sensitivity_low,Radius,Area,Observer_name,Age,Gender
0.5,0.5,0.5,0.473839594256053,0.499798688204478,0.473839594256053,18.9327392774772,20.5797359786369,18.9327392774772,0.25,0.19634954084936207,Ale_2,30,M
1.0,0.5,0.5,0.473839594256053,1.08816178256755,0.473839594256053,18.9327392774772,69.484322202689,18.9327392774772,0.5,0.7853981633974483,Ale_2,30,M
16.0,0.5,0.5,1.7495254400674,1.8809322748143,1.62808059460162,146.019097262115,163.530802824292,130.48058083891,8.0,201.06192982974676,Ale_2,30,M
-1.0,0.5,0.5,1.79115529411521,2.02914740443805,1.45251916888411,151.489304750977,184.126322565421,109.155895273566,27.462046803573333,2369.276128,Ale_2,30,M
0.5,2.0,2.0,1.26817007403456,1.37898576966237,1.04724231994386,85.5033928971046,97.4725753178908,63.3831663647572,0.25,0.19634954084936207,Ale_2,30,M
1.0,2.0,2.0,1.92438241980772,2.27710161479505,1.7222464663463,164.14645921012,213.570008965488,137.9928427323,0.5,0.7853981633974483,Ale_2,30,M
16.0,2.0,2.0,2.29529425257293,2.38780818602425,2.20036003326693,216.244523791721,230.029590917329,202.420988907938,8.0,201.06192982974676,Ale_2,30,M
-1.0,2.0,2.0,2.92122092152275,3.16153468700652,2.6586091604795,315.303342406975,356.798978652324,272.112586612176,27.462046803573333,2369.276128,Ale_2,30,M
0.5,4.0,4.0,1.53835347763504,1.6366759295249,1.42989529522047,110.829974597269,122.10600409921,98.8552423047263,0.25,0.19634954084936207,Ale_2,30,M
1.0,4.0,4.0,1.16369184937439,1.56519469326482,0.958851965632335,71.627762227898,113.869072167934,52.9147414509086,0.5,0.7853981633974483,Ale_2,30,M
16.0,4.0,4.0,2.98689531745407,3.67649280320188,2.73759174005366,312.840766506717,432.922994600556,272.97746063985,8.0,201.06192982974676,Ale_2,30,M
-1.0,4.0,4.0,2.13732756429782,2.28642332844764,1.95948146651747,185.35692813682,205.972470954284,161.808794297365,27.462046803573333,2369.276128,Ale_2,30,M
0.5,8.0,8.0,1.9070851080976,2.03090253533075,1.75531979763629,142.423401623817,157.147030390618,125.100344414327,0.25,0.19634954084936207,Ale_2,30,M
1.0,8.0,8.0,2.86107588510736,3.08659824314568,2.64994478803292,268.584499901644,302.421977063086,238.239603411068,0.5,0.7853981633974483,Ale_2,30,M
16.0,8.0,8.0,3.39463254765423,3.65542008040329,2.23987547068085,350.932167639122,393.998653942534,183.158601932472,8.0,201.06192982974676,Ale_2,30,M
-1.0,8.0,8.0,2.75763451219327,2.94007349974293,2.59769239892735,253.553516915036,280.272376125015,230.93376056893,27.462046803573333,2369.276128,Ale_2,30,M
0.5,0.5,0.5,0.641240685452668,0.741854386421382,0.473839594256053,30.3876326721332,38.1671245366126,18.9327392774772,0.25,0.19634954084936207,Ali_2,29,M
1.0,0.5,0.5,0.954782504275609,1.12049341870433,0.757398190296492,56.6334701997171,72.7400210405087,39.4251630607718,0.5,0.7853981633974483,Ali_2,29,M
16.0,0.5,0.5,1.50808575378288,1.67491454685784,1.36870350827954,115.756571466927,136.398105314922,99.4668684011815,8.0,201.06192982974676,Ali_2,29,M
-1.0,0.5,0.5,2.9840760180736,3.20282144087356,2.69656997418712,336.563627518915,375.937236634062,287.2482555245,27.462046803573333,2369.276128,Ali_2,29,M
0.5,1.0,1.0,0.990865327528812,1.3349795148111,0.990865327528812,59.3802186859753,94.6470805608387,59.3802186859753,0.25,0.19634954084936207,Ali_2,29,M
1.0,1.0,1.0,1.86631382932762,1.99729582860453,1.71841085201828,159.835696565767,177.722898009075,140.473740075782,0.5,0.7853981633974483,Ali_2,29,M
16.0,1.0,1.0,3.12844248885102,3.34355795737545,2.85627378522188,358.533507192289,397.829432696394,310.964251309165,8.0,201.06192982974676,Ali_2,29,M
-1.0,1.0,1.0,3.54145184047107,4.56929458317947,3.54145184047107,435.263203983413,648.377454084613,435.263203983413,27.462046803573333,2369.276128,Ali_2,29,M
0.5,2.0,2.0,0.97500812792929,1.12156895226496,0.848661527976933,56.6802040421681,70.5579044149422,45.621330151092,0.25,0.19634954084936207,Ali_2,29,M
1.0,2.0,2.0,3.69200625229137,3.89346059067563,3.45889857345838,454.753928991081,494.15297241656,410.656748748592,0.5,0.7853981633974483,Ali_2,29,M
16.0,2.0,2.0,3.44444889316881,3.65896345968511,3.11676611162814,407.976947511643,448.404898805699,348.929005872235,8.0,201.06192982974676,Ali_2,29,M
-1.0,2.0,2.0,4.95060819788804,5.24337688195915,4.64078238569282,719.472504381904,787.114693586081,650.307888155422,27.462046803573333,2369.276128,Ali_2,29,M
0.5,4.0,4.0,1.61352132389339,1.86448233541863,1.24922184768678,119.415165625296,149.709082045631,80.0299750868634,0.25,0.19634954084936207,Ali_2,29,M
1.0,4.0,4.0,2.07225801061853,2.41050583978405,1.66380820203085,176.607695157086,223.71939166053,125.286510766491,0.5,0.7853981633974483,Ali_2,29,M
16.0,4.0,4.0,4.69865206585241,4.9391255547478,4.69865206585241,635.375313647951,686.95952877097,635.375313647951,8.0,201.06192982974676,Ali_2,29,M
-1.0,4.0,4.0,4.70814525830044,4.90740665764734,4.298438249056,637.384091810875,680.072582500797,552.796155899251,27.462046803573333,2369.276128,Ali_2,29,M
0.5,8.0,8.0,2.22874096078325,2.37425502404688,1.95366057557034,181.736664992539,200.631922162241,147.900541070996,0.25,0.19634954084936207,Ali_2,29,M
