Size_Degree,VRR_Frequency,FRR,Luminance,Luminance_high,Luminance_low,C_t,C_t_high,C_t_low,Observer_name,Age,Gender
0.5,0.5,0.5,0.473839594256053,0.499798688204478,0.473839594256053,0.0571636583569491,0.0571636583569491,0.0536307171986557,Ale_2,30,M
1.0,0.5,0.5,0.473839594256053,1.08816178256755,0.473839594256053,0.0571636583569491,0.0571636583569491,0.0182656708256131,Ale_2,30,M
16.0,0.5,0.5,1.7495254400674,1.8809322748143,1.62808059460162,0.0082685424082766,0.0093634004659147,0.0072935811098284,Ale_2,30,M
-1.0,0.5,0.5,1.79115529411521,2.02914740443805,1.45251916888411,0.007938437311704,0.0113813375534911,0.0063988595160767,Ale_2,30,M
0.5,2.0,2.0,1.26817007403456,1.37898576966237,1.04724231994386,0.0134269211837545,0.0182869760334224,0.0116923966431442,Ale_2,30,M
1.0,2.0,2.0,1.92438241980772,2.27710161479505,1.7222464663463,0.0068008563881019,0.0081051822730672,0.0053415297129927,Ale_2,30,M
16.0,2.0,2.0,2.29529425257293,2.38780818602425,2.20036003326693,0.0052863041500941,0.0055928496485033,0.0050287857355276,Ale_2,30,M
-1.0,2.0,2.0,2.92122092152275,3.16153468700652,2.6586091604795,0.0040967269138993,0.0044589748844894,0.0038755351067729,Ale_2,30,M
0.5,4.0,4.0,1.53835347763504,1.6366759295249,1.42989529522047,0.0082553169965646,0.009431488148278,0.0073807391460469,Ale_2,30,M
1.0,4.0,4.0,1.16369184937439,1.56519469326482,0.958851965632335,0.0136675374517713,0.0190442332251752,0.0080001608040522,Ale_2,30,M
16.0,4.0,4.0,2.98689531745407,3.67649280320188,2.73759174005366,0.003469832166583,0.0036311819003297,0.0034293088669873,Ale_2,30,M
-1.0,4.0,4.0,2.13732756429782,2.28642332844764,1.95948146651747,0.0047447253255451,0.0054171687659489,0.004331572039384,Ale_2,30,M
0.5,8.0,8.0,1.9070851080976,2.03090253533075,1.75531979763629,0.003083869608772,0.0039848004657738,0.0025174553844695,Ale_2,30,M
1.0,8.0,8.0,2.86107588510736,3.08659824314568,2.64994478803292,0.0009173746862579,0.0010856528772902,0.0008379328464191,Ale_2,30,M
16.0,8.0,8.0,3.39463254765423,3.65542008040329,2.23987547068085,0.0008437299034716,0.0018202557181291,0.0008437299034716,Ale_2,30,M
-1.0,8.0,8.0,2.75763451219327,2.94007349974293,2.59769239892735,0.0009864696977681,0.0011452495026959,0.0008794675829591,Ale_2,30,M
0.5,0.5,0.5,0.641240685452668,0.741854386421382,0.473839594256053,0.0391775183543653,0.0571636583569491,0.0321830438003876,Ali_2,29,M
1.0,0.5,0.5,0.954782504275609,1.12049341870433,0.757398190296492,0.0223441108873541,0.0312693266841474,0.0174397155829636,Ali_2,29,M
16.0,0.5,0.5,1.50808575378288,1.67491454685784,1.36870350827954,0.0106774840056735,0.0125799441695157,0.0089161552396375,Ali_2,29,M
-1.0,0.5,0.5,2.9840760180736,3.20282144087356,2.69656997418712,0.0034471946065648,0.0040078227181869,0.0031229424442302,Ali_2,29,M
0.5,1.0,1.0,0.990865327528812,1.3349795148111,0.990865327528812,0.0207787088172303,0.0207787088172303,0.0129253061814551,Ali_2,29,M
1.0,1.0,1.0,1.86631382932762,1.99729582860453,1.71841085201828,0.0073968828012516,0.0084836244471618,0.0066215928106138,Ali_2,29,M
16.0,1.0,1.0,3.12844248885102,3.34355795737545,2.85627378522188,0.003574813266121,0.0039589013137171,0.0033466054336118,Ali_2,29,M
-1.0,1.0,1.0,3.54145184047107,4.56929458317947,3.54145184047107,0.0031784764509525,0.0031784764509525,0.0026317806421221,Ali_2,29,M
0.5,2.0,2.0,0.97500812792929,1.12156895226496,0.848661527976933,0.0204490357374782,0.0252366481332545,0.0163952428305559,Ali_2,29,M
1.0,2.0,2.0,3.69200625229137,3.89346059067563,3.45889857345838,0.0036107397472858,0.0036989570862545,0.003558135876698,Ali_2,29,M
16.0,2.0,2.0,3.44444889316881,3.65896345968511,3.11676611162814,0.0037056600405865,0.0039104714467688,0.0036212187761357,Ali_2,29,M
-1.0,2.0,2.0,4.95060819788804,5.24337688195915,4.64078238569282,0.0034292610171807,0.0034573626692998,0.003399509263082,Ali_2,29,M
0.5,4.0,4.0,1.61352132389339,1.86448233541863,1.24922184768678,0.0075723033690888,0.0120470873016934,0.0058786476618467,Ali_2,29,M
1.0,4.0,4.0,2.07225801061853,2.41050583978405,1.66380820203085,0.0049652251991708,0.0071666237061954,0.0040686667048799,Ali_2,29,M
16.0,4.0,4.0,4.69865206585241,4.9391255547478,4.69865206585241,0.0037517424657634,0.0037517424657634,0.0037517424657634,Ali_2,29,M
-1.0,4.0,4.0,4.70814525830044,4.90740665764734,4.298438249056,0.0037550978037165,0.0037550978037165,0.0037550978037165,Ali_2,29,M
