size,color,repeat,Y,x,y
0.5,0.049999999999999996,0,0.616,0.2764,0.3085
0.5,0.049999999999999996,1,0.613,0.007123838074614803,8.146492700740882e-18
0.5,0.05544126201879391,0,0.6,0.2738,0.3043
0.5,0.05544126201879391,1,0.605,0.007123838074614803,8.146492700740882e-18
0.5,0.06147467068473124,0,0.88,0.007123838074614803,8.146492700740882e-18
0.5,0.06147467068473124,1,0.869,0.007123838074614803,8.146492700740882e-18
0.5,0.06816466649902507,0,0.972,0.2786,0.3009
0.5,0.06816466649902507,1,0.972,0.007123838074614803,8.146492700740882e-18
0.5,0.07558270271592309,0,1.207,0.007123838074614803,8.146492700740882e-18
0.5,0.07558270271592309,1,1.206,0.007123838074614803,8.146492700740882e-18
0.5,0.08380800850724197,0,1.487,0.007123838074614803,8.146492700740882e-18
0.5,0.08380800850724197,1,1.49,0.2785,0.2912
0.5,0.09292843517846627,0,2.106,0.277,0.2958
0.5,0.09292843517846627,1,2.099,0.2776,0.2962
0.5,0.10304139447451709,0,2.575,0.007123838074614803,8.146492700740882e-18
0.5,0.10304139447451709,1,2.575,0.007123838074614803,8.146492700740882e-18
0.5,0.11425489899687216,0,3.36,0.2779,0.2913
0.5,0.11425489899687216,1,3.355,0.2777,0.2908
0.5,0.12668871584432848,0,4.345,0.007123838074614803,8.146492700740882e-18
0.5,0.12668871584432848,1,4.342,0.2787,0.2919
0.5,0.14047564579899893,0,5.715,0.2795,0.295
0.5,0.14047564579899893,1,5.704,0.2796,0.2951
0.5,0.15576294172003172,0,7.086,0.007123838074614803,8.146492700740882e-18
0.5,0.15576294172003172,1,7.073,0.007123838074614803,8.146492700740882e-18
0.5,0.17271388129436815,0,8.893,0.2794,0.2926
0.5,0.17271388129436815,1,8.883,0.2796,0.2928
0.5,0.19150951094247873,0,11.629,0.2797,0.2929
0.5,0.19150951094247873,1,11.604,0.007123838074614803,8.146492700740882e-18
0.5,0.21235057950506092,0,14.281,0.2802,0.2923
0.5,0.21235057950506092,1,14.251,0.2801,0.2922
0.5,0.23545968236365628,0,18.027,0.007123838074614803,8.146492700740882e-18
0.5,0.23545968236365628,1,17.995,0.007123838074614803,8.146492700740882e-18
