Size_Degree,VRR_Frequency,FRR,Luminance,Luminance_high,Luminance_low,C_t,C_t_high,C_t_low
0.5,0.5,0.5,0.473839594256053,0.624129514334872,0.473839594256053,0.0571636583569491,0.0571636583569491,0.0405895486101344
1,0.5,0.5,0.90060157687557,1.03579274857085,0.748588017030744,0.0243822758054724,0.0317824660944617,0.0197279045560548
16,0.5,0.5,2.00289556285066,2.13238375740753,1.3381711698411,0.0065437439326007,0.0130628847818694,0.00587821862826352
-1,0.5,0.5,2.53654348442583,3.11829771384274,2.53654348442583,0.00441107897209366,0.00441107897209366,0.00323975435968664
0.5,2,2,1.22527024818807,1.32101044426947,1.09346145035797,0.0142059988540214,0.0170751532499421,0.0125535737627395
1,2,2,1.0051394661011,1.75115114220389,1.0051394661011,0.0195039898117153,0.0195039898117153,0.0078904910016451
16,2,2,2.55505457331369,2.72900718510669,2.27812385889296,0.00464872626941042,0.0053383842138104,0.00434660822408885
-1,2,2,2.29114209851348,2.42978208140264,2.16470552880251,0.00529876867586758,0.00572046973374715,0.00492378975703149
0.5,4,4,1.72626938297106,1.83747940588007,1.54047879994629,0.00671313754675064,0.0082346338176307,0.0060253316557599
1,4,4,2.86886049527068,3.13986240212669,2.64942722875304,0.00353188750407543,0.00371926452593386,0.00342039886474469
16,4,4,3.36932877703445,3.56541907508358,3.36932877703445,0.00339652302187499,0.00339652302187499,0.00339652302187499
-1,4,4,2.44697808661594,3.28764240542628,2.1818626313935,0.00400313891461236,0.00460871796166588,0.00339918702017597
0.5,8,8,1.41360824948872,1.64378311664993,0.979228116754098,0.00726323738893053,0.0164881260920803,0.00483119454361712
1,8,8,2.63061425965135,2.85222402453895,2.44804404947115,0.00110676826165998,0.00136473093071919,0.000922384944147415
16,8,8,3.97667256906897,4.40591767746516,3.6003034558894,0.00105734827636746,0.00105734827636746,0.00105734827636746
-1,8,8,6.72810189002427,7.42022790681831,6.26561021696362,0.00241161132196221,0.00241161132196221,0.00241161132196221
