Duration,Size_Degree,VRR_Frequency,Luminance,C_t
0.1,16,2.0,0.43015516533743703,0.08778213335493938
0.1,16,8.0,0.44630942459827116,0.08431947393381221
0.2,16,0.5,0.6920445622055313,0.051711946273865016
0.2,16,2.0,0.44278291091771355,0.08505393374688672
0.2,16,8.0,0.4556733816799386,0.08242426597264525
0.4,16,0.5,0.43419410890651977,0.08689237383256723
0.4,16,8.0,1.462164881783043,0.021829579171231652
0.8,16,0.5,0.4341942926750906,0.08689233372324612
0.8,16,2.0,1.7209518717013648,0.018038231860864548
0.8,16,8.0,2.378417070599042,0.012327479263817921
1.6,16,0.5,1.549909889288091,0.020391660691606216
1.6,16,2.0,2.2529793454534204,0.01314080589336267
1.6,16,8.0,3.1912470305202234,0.008709011637195077
3.2,16,0.5,1.5685701865140529,0.02010806749765969
3.2,16,2.0,1.94771351567787,0.0155978467699075
3.2,16,8.0,3.509743313291843,0.007780870972143153
