Size_Degree,VRR_Frequency,FRR,Luminance,Luminance_high,Luminance_low,Sensitivity,Sensitivity_high,Sensitivity_low
0.5,0.5,0.5,0.706010802739136,0.823030370396204,0.567001841005582,35.3226798052913,44.897067991401,25.0683723529047
1,0.5,0.5,0.473839594256053,0.526128186846624,0.473839594256053,18.9327392774772,22.3002505432339,18.9327392774772
16,0.5,0.5,0.473839594256053,0.730574581286159,0.473839594256053,18.9327392774772,37.2634382595805,18.9327392774772
0.5,2,2,0.492183611173313,0.577475157042153,0.473839594256053,19.4595248138288,24.9849289958967,18.3372441840423
1,2,2,2.20096233352826,2.44227102613611,1.93694934958099,202.507649916893,238.287591148223,165.825970338861
16,2,2,2.04047647346358,2.20435983847586,1.87349125038942,179.89456858722,202.996744938712,157.408400511815
-1,2,2,2.42775383715659,2.5837673280796,2.21018157429541,236.076145084324,260.228149269353,203.835813821586
0.5,4,4,0.87196755557771,0.990849300027296,0.622275554083374,45.6102989015793,55.7021597141556,26.9104332549313
1,4,4,1.85185450144864,1.98269557439806,1.68947210853915,148.126365509196,164.81676890818,128.321937402666
16,4,4,1.73577212978227,1.85359177429066,1.6107727333694,133.864061903072,148.343747599871,119.097184384278
-1,4,4,2.65322203580756,2.78436683048422,2.50187531479924,259.935215481102,280.306891282302,237.122451249458
0.5,8,8,1.2269521306061,1.63654719495682,1.08614236376999,71.4535308159095,112.117110757067,59.0511355990493
1,8,8,1.53345667880678,1.71072858913347,1.38071380952821,101.269831792033,120.16595705191,85.9439854590755
16,8,8,3.00527177047378,3.22934190782549,2.73721909146641,290.053122391011,324.578160209586,250.623985497171
-1,8,8,3.97498941964131,3.97498941964131,3.82856142158009,449.179035647214,449.179035647214,423.571735802759
0.5,10,10,0.473839594256053,0.551764929072684,0.473839594256053,15.4636024472969,19.621019091667,15.4636024472969
1,10,10,1.53069414790367,1.71187643410691,1.53069414790367,96.7719625616148,115.273949386075,96.7719625616148
16,10,10,3.010400939186,3.21153817574512,2.78862702571531,278.695477258897,308.36037224266,247.26044420054
-1,10,10,5.32814309304941,5.57950410916488,4.8708840524488,680.623666479756,731.503402855965,591.51253893797
0.5,12,11.9,0.483843410293225,0.639652961539189,0.483843410293225,15.3433555519944,23.7426794342178,15.3433555519944
1,12,11.9,0.473839594256053,0.483119209717788,0.473839594256053,14.8501253737527,15.3074545641654,14.8501253737527
16,12,11.9,3.51329248109477,4.19859760206399,3.0354743593649,340.779065906844,450.302989075913,271.133370284301
-1,12,11.9,4.97707943168748,5.18649660348715,4.69895003270308,587.533079039011,626.651096765015,537.001263777307
1,14,13.3,0.498672096073644,0.702520817676106,0.498672096073644,15.6123995373748,26.6839687130723,15.6123995373748
16,14,13.3,3.90725215593405,4.15228133536121,3.68056750540977,390.575519200932,429.552810313127,355.72207148334
-1,14,13.3,3.79935782197013,4.04867342116542,3.0332625543772,373.84000313385,412.908701155829,262.865624160793
0.5,16,14.9,0.529522022177501,0.635532995791859,0.473839594256053,16.5742858418087,22.0486549612489,13.930648947415
16,16,14.9,4.25861168949826,4.56588869140469,3.95588729045947,431.902530405908,481.621430008924,384.859729018333
-1,16,14.9,2.47466803566259,2.8061193741525,2.06720161883925,184.794559713429,224.937818644996,139.474059928425
