Color,Luminance
0.0,0.274
1.0,393.244
0.5,85.509
0.25,18.986
0.125,4.012
0.0625,0.817
0.09375,1.812
0.109375,2.59
0.1015625,2.502
0.09765625,2.351
0.095703125,2.063
