size,color,repeat,Y,x,y
0.5,0.049999999999999996,1,,,
full,0.5380484445259031,1,82.331,0.2834,0.2921
16,0.10304139447451709,1,2.504,0.2294544240039044,2.62393497819865e-16
16,0.11425489899687216,0,3.035,0.2779,0.2916
full,0.11425489899687216,0,2.951,0.2778,0.2911
full,0.06147467068473124,0,0.587,0.2756,0.2931
0.5,0.10304139447451709,0,2.254,0.2777,0.2922
16,0.14047564579899893,0,5.128,0.2801,0.295
full,0.901855372322704,1,180.518,0.284,0.2916
16,0.4376179965934659,1,58.434,0.2294544240039044,2.62393497819865e-16
full,0.15576294172003172,0,6.291,0.2797,0.2935
0.5,0.2610836388957092,1,21.562,0.2828,0.2941
16,0.5380484445259031,0,106.815,0.2294544240039044,2.62393497819865e-16
0.5,0.19150951094247873,0,10.804,0.007123838074614803,8.146492700740882e-18
16,0.15576294172003172,1,6.404,0.28,0.2934
0.5,0.06147467068473124,0,0.699,0.007123838074614803,8.146492700740882e-18
0.5,0.6615270187932356,1,171.297,0.2842,0.2911
0.5,0.12668871584432848,1,3.886,0.007123838074614803,8.146492700740882e-18
0.5,0.4376179965934659,0,68.319,0.007123838074614803,8.146492700740882e-18
full,0.23545968236365628,0,16.276,0.2818,0.293
0.5,0.15576294172003172,1,6.44,0.2798,0.2934
16,0.12668871584432848,1,3.818,0.2789,0.2914
full,0.2610836388957092,0,20.386,0.2821,0.2926
0.5,0.21235057950506092,0,13.282,0.2809,0.2924
full,0.049999999999999996,0,0.469,0.2755,0.2991
16,0.10304139447451709,0,2.207,0.2781,0.2928
0.5,0.14047564579899893,1,5.144,0.2802,0.2948
16,0.06147467068473124,0,0.676,0.2737,0.2956
16,0.2894961286567438,0,26.575,0.2294544240039044,2.62393497819865e-16
16,0.12668871584432848,0,3.806,0.2294544240039044,2.62393497819865e-16
full,0.09292843517846627,0,1.714,0.2777,0.2959
full,0.08380800850724197,1,1.183,0.2779,0.2891
16,0.06147467068473124,1,0.672,0.2747,0.2949
0.5,0.07558270271592309,0,0.973,0.2772,0.2954
0.5,0.3946681412529161,1,53.488,0.2831,0.2925
full,0.08380800850724197,0,1.172,0.278,0.287
full,0.14047564579899893,1,4.945,0.2801,0.2949
full,0.7335178556285477,0,112.95,0.2834,0.2916
0.5,0.3559335834735583,1,40.841,0.2826,0.2925
0.5,0.901855372322704,1,324.285,0.007123838074614803,8.146492700740882e-18
full,0.7335178556285477,1,113.429,0.2833,0.2916
0.5,0.3946681412529161,0,52.368,0.2829,0.2924
0.5,0.11425489899687216,1,2.946,0.007123838074614803,8.146492700740882e-18
0.5,0.3559335834735583,0,42.352,0.2829,0.2927
full,0.09292843517846627,1,1.703,0.277,0.2962
full,0.3210006144457002,0,31.246,0.2826,0.2932
0.5,0.14047564579899893,0,5.128,0.007123838074614803,8.146492700740882e-18
16,0.05544126201879391,0,0.522,0.2721,0.2934
full,0.2894961286567438,0,25.131,0.2826,0.2937
0.5,0.8133431125873235,0,263.923,0.2841,0.2911
0.5,0.07558270271592309,1,0.978,0.007123838074614803,8.146492700740882e-18
0.5,0.09292843517846627,0,1.776,0.2779,0.2953
full,0.3559335834735583,1,38.913,0.2827,0.293
0.5,0.049999999999999996,0,0.488,0.007123838074614803,8.146492700740882e-18
0.5,0.19150951094247873,1,10.662,0.007123838074614803,8.146492700740882e-18
0.5,0.2894961286567438,1,26.565,0.2827,0.2932
full,0.19150951094247873,1,10.39,0.2801,0.293
16,0.901855372322704,0,314.98,0.2294544240039044,2.62393497819865e-16
0.5,0.08380800850724197,0,1.251,0.2786,0.2905
full,0.21235057950506092,0,12.896,0.2805,0.2921
full,0.4852418802655602,1,66.413,0.283,0.2921
full,0.3210006144457002,1,31.163,0.2826,0.2929
16,0.7335178556285477,1,210.91,0.2294544240039044,2.62393497819865e-16
full,0.23545968236365628,1,16.243,0.2819,0.293
16,0.8133431125873235,1,260.514,0.2841,0.2912
full,0.07558270271592309,1,0.929,0.2754,0.2951
16,1.0,1,386.207,0.2294544240039044,2.62393497819865e-16
16,0.14047564579899893,1,5.158,0.2294544240039044,2.62393497819865e-16
full,0.4852418802655602,0,68.869,0.2829,0.292
0.5,0.2894961286567438,0,26.846,0.007123838074614803,8.146492700740882e-18
16,0.4852418802655602,1,84.762,0.2831,0.2917
16,0.4376179965934659,0,68.269,0.2294544240039044,2.62393497819865e-16
full,0.05544126201879391,0,0.514,0.2699,0.2927
full,0.05544126201879391,1,0.512,0.2728,0.2922
16,0.07558270271592309,0,0.964,0.2759,0.2972
0.5,0.8133431125873235,1,265.006,0.007123838074614803,8.146492700740882e-18
16,0.3946681412529161,0,53.735,0.283,0.2925
16,0.08380800850724197,0,1.223,0.2294544240039044,2.62393497819865e-16
16,0.7335178556285477,0,211.657,0.284,0.2912
16,0.07558270271592309,1,0.974,0.2294544240039044,2.62393497819865e-16
0.5,1.0,1,405.935,0.007123838074614803,8.146492700740882e-18
0.5,0.05544126201879391,0,0.56,0.007123838074614803,8.146492700740882e-18
full,0.5966016958353019,1,83.468,0.2832,0.292
0.5,0.6615270187932356,0,171.369,0.007123838074614803,8.146492700740882e-18
16,0.5966016958353019,0,134.147,0.2835,0.2913
