idx, R, G, B, type, Y, x, y, L, M, S, Y1, x1, y1
1, 0.1, 0.1, 0.1, ramp_w, 0.136, 0.2748, 0.3141, NaN, NaN, NaN, NaN, NaN, NaN
2, 0.107227, 0.107227, 0.107227, ramp_w, 0.12, 0.2706, 0.3093, NaN, NaN, NaN, NaN, NaN, NaN
3, 0.114976, 0.114976, 0.114976, ramp_w, 0.108, 0.2691, 0.3059, NaN, NaN, NaN, NaN, NaN, NaN
4, 0.123285, 0.123285, 0.123285, ramp_w, 0.113, 0.2786, 0.3148, NaN, NaN, NaN, NaN, NaN, NaN
5, 0.132194, 0.132194, 0.132194, ramp_w, 0.121, 0.2785, 0.321, NaN, NaN, NaN, NaN, NaN, NaN
6, 0.141747, 0.141747, 0.141747, ramp_w, 0.144, 0.281, 0.3186, NaN, NaN, NaN, NaN, NaN, NaN
7, 0.151991, 0.151991, 0.151991, ramp_w, 0.14, 0.2825, 0.3189, NaN, NaN, NaN, NaN, NaN, NaN
8, 0.162975, 0.162975, 0.162975, ramp_w, 0.131, 0.2836, 0.3203, NaN, NaN, NaN, NaN, NaN, NaN
9, 0.174753, 0.174753, 0.174753, ramp_w, 0.126, 0.2839, 0.3166, NaN, NaN, NaN, NaN, NaN, NaN
10, 0.187382, 0.187382, 0.187382, ramp_w, 0.143, 0.2819, 0.3199, NaN, NaN, NaN, NaN, NaN, NaN
11, 0.200923, 0.200923, 0.200923, ramp_w, 0.162, 0.2849, 0.3183, NaN, NaN, NaN, NaN, NaN, NaN
12, 0.215443, 0.215443, 0.215443, ramp_w, 0.2, 0.2801, 0.3165, NaN, NaN, NaN, NaN, NaN, NaN
13, 0.231013, 0.231013, 0.231013, ramp_w, 0.196, 0.2825, 0.3146, NaN, NaN, NaN, NaN, NaN, NaN
14, 0.247708, 0.247708, 0.247708, ramp_w, 0.209, 0.2823, 0.3138, NaN, NaN, NaN, NaN, NaN, NaN
15, 0.265609, 0.265609, 0.265609, ramp_w, 0.21, 0.2806, 0.3102, NaN, NaN, NaN, NaN, NaN, NaN
16, 0.284804, 0.284804, 0.284804, ramp_w, 0.214, 0.2752, 0.3084, NaN, NaN, NaN, NaN, NaN, NaN
17, 0.305386, 0.305386, 0.305386, ramp_w, 0.223, 0.2833, 0.3128, NaN, NaN, NaN, NaN, NaN, NaN
18, 0.327455, 0.327455, 0.327455, ramp_w, 0.227, 0.2826, 0.3084, NaN, NaN, NaN, NaN, NaN, NaN
19, 0.351119, 0.351119, 0.351119, ramp_w, 0.241, 0.2819, 0.3074, NaN, NaN, NaN, NaN, NaN, NaN
20, 0.376494, 0.376494, 0.376494, ramp_w, 0.256, 0.2797, 0.3073, NaN, NaN, NaN, NaN, NaN, NaN
21, 0.403702, 0.403702, 0.403702, ramp_w, 0.269, 0.2803, 0.3016, NaN, NaN, NaN, NaN, NaN, NaN
22, 0.432876, 0.432876, 0.432876, ramp_w, 0.3, 0.2801, 0.3012, NaN, NaN, NaN, NaN, NaN, NaN
23, 0.464159, 0.464159, 0.464159, ramp_w, 0.31, 0.2759, 0.2969, NaN, NaN, NaN, NaN, NaN, NaN
24, 0.497702, 0.497702, 0.497702, ramp_w, 0.306, 0.2795, 0.3012, NaN, NaN, NaN, NaN, NaN, NaN
25, 0.53367, 0.53367, 0.53367, ramp_w, 0.324, 0.2812, 0.2997, NaN, NaN, NaN, NaN, NaN, NaN
26, 0.572237, 0.572237, 0.572237, ramp_w, 0.343, 0.2815, 0.2998, NaN, NaN, NaN, NaN, NaN, NaN
27, 0.613591, 0.613591, 0.613591, ramp_w, 0.385, 0.28, 0.2978, NaN, NaN, NaN, NaN, NaN, NaN
28, 0.657933, 0.657933, 0.657933, ramp_w, 0.412, 0.2818, 0.2977, NaN, NaN, NaN, NaN, NaN, NaN
29, 0.70548, 0.70548, 0.70548, ramp_w, 0.411, 0.278, 0.3007, NaN, NaN, NaN, NaN, NaN, NaN
30, 0.756463, 0.756463, 0.756463, ramp_w, 0.428, 0.2772, 0.2952, NaN, NaN, NaN, NaN, NaN, NaN
31, 0.811131, 0.811131, 0.811131, ramp_w, 0.45, 0.2822, 0.3016, NaN, NaN, NaN, NaN, NaN, NaN
32, 0.869749, 0.869749, 0.869749, ramp_w, 0.485, 0.2785, 0.2975, NaN, NaN, NaN, NaN, NaN, NaN
33, 0.932603, 0.932603, 0.932603, ramp_w, 0.518, 0.2846, 0.2996, NaN, NaN, NaN, NaN, NaN, NaN
34, 1, 1, 1, ramp_w, 0.548, 0.28, 0.2991, NaN, NaN, NaN, NaN, NaN, NaN
35, 1.07227, 1.07227, 1.07227, ramp_w, 0.567, 0.2816, 0.2945, NaN, NaN, NaN, NaN, NaN, NaN
36, 1.14976, 1.14976, 1.14976, ramp_w, 0.615, 0.2815, 0.3016, NaN, NaN, NaN, NaN, NaN, NaN
37, 1.23285, 1.23285, 1.23285, ramp_w, 0.688, 0.2806, 0.2957, NaN, NaN, NaN, NaN, NaN, NaN
38, 1.32194, 1.32194, 1.32194, ramp_w, 0.727, 0.2811, 0.2907, NaN, NaN, NaN, NaN, NaN, NaN
39, 1.41747, 1.41747, 1.41747, ramp_w, 0.762, 0.2809, 0.3032, NaN, NaN, NaN, NaN, NaN, NaN
40, 1.51991, 1.51991, 1.51991, ramp_w, 0.813, 0.2861, 0.2982, NaN, NaN, NaN, NaN, NaN, NaN
41, 1.62975, 1.62975, 1.62975, ramp_w, 0.86, 0.2795, 0.3001, NaN, NaN, NaN, NaN, NaN, NaN
42, 1.74753, 1.74753, 1.74753, ramp_w, 0.908, 0.2864, 0.2948, NaN, NaN, NaN, NaN, NaN, NaN
43, 1.87382, 1.87382, 1.87382, ramp_w, 0.989, 0.2826, 0.3009, NaN, NaN, NaN, NaN, NaN, NaN
44, 2.00923, 2.00923, 2.00923, ramp_w, 1.083, 0.2815, 0.2988, NaN, NaN, NaN, NaN, NaN, NaN
45, 2.15443, 2.15443, 2.15443, ramp_w, 1.136, 0.2875, 0.2921, NaN, NaN, NaN, NaN, NaN, NaN
46, 2.31013, 2.31013, 2.31013, ramp_w, 1.211, 0.2821, 0.2994, NaN, NaN, NaN, NaN, NaN, NaN
47, 2.47708, 2.47708, 2.47708, ramp_w, 1.292, 0.2891, 0.299, NaN, NaN, NaN, NaN, NaN, NaN
48, 2.65609, 2.65609, 2.65609, ramp_w, 1.454, 0.2872, 0.2936, NaN, NaN, NaN, NaN, NaN, NaN
49, 2.84804, 2.84804, 2.84804, ramp_w, 1.571, 0.2805, 0.2994, NaN, NaN, NaN, NaN, NaN, NaN
50, 3.05386, 3.05386, 3.05386, ramp_w, 1.783, 0.2868, 0.2936, NaN, NaN, NaN, NaN, NaN, NaN
51, 3.27455, 3.27455, 3.27455, ramp_w, 1.917, 0.2799, 0.2967, NaN, NaN, NaN, NaN, NaN, NaN
52, 3.51119, 3.51119, 3.51119, ramp_w, 2.112, 0.2812, 0.3025, NaN, NaN, NaN, NaN, NaN, NaN
53, 3.76494, 3.76494, 3.76494, ramp_w, 2.323, 0.2846, 0.2953, NaN, NaN, NaN, NaN, NaN, NaN
54, 4.03702, 4.03702, 4.03702, ramp_w, 2.489, 0.2771, 0.298, NaN, NaN, NaN, NaN, NaN, NaN
55, 4.32876, 4.32876, 4.32876, ramp_w, 2.757, 0.2827, 0.3043, NaN, NaN, NaN, NaN, NaN, NaN
56, 4.64159, 4.64159, 4.64159, ramp_w, 2.88, 0.2885, 0.2986, NaN, NaN, NaN, NaN, NaN, NaN
57, 4.97702, 4.97702, 4.97702, ramp_w, 3.291, 0.2841, 0.3054, NaN, NaN, NaN, NaN, NaN, NaN
58, 5.3367, 5.3367, 5.3367, ramp_w, 3.508, 0.2799, 0.3024, NaN, NaN, NaN, NaN, NaN, NaN
59, 5.72237, 5.72237, 5.72237, ramp_w, 3.725, 0.2884, 0.2998, NaN, NaN, NaN, NaN, NaN, NaN
60, 6.13591, 6.13591, 6.13591, ramp_w, 3.999, 0.2875, 0.2988, NaN, NaN, NaN, NaN, NaN, NaN
61, 6.57933, 6.57933, 6.57933, ramp_w, 4.519, 0.2833, 0.3057, NaN, NaN, NaN, NaN, NaN, NaN
62, 7.0548, 7.0548, 7.0548, ramp_w, 4.773, 0.2807, 0.3002, NaN, NaN, NaN, NaN, NaN, NaN
63, 7.56463, 7.56463, 7.56463, ramp_w, 5.145, 0.2857, 0.3006, NaN, NaN, NaN, NaN, NaN, NaN
64, 8.11131, 8.11131, 8.11131, ramp_w, 5.574, 0.2861, 0.2952, NaN, NaN, NaN, NaN, NaN, NaN
65, 8.69749, 8.69749, 8.69749, ramp_w, 6.142, 0.2831, 0.3043, NaN, NaN, NaN, NaN, NaN, NaN
66, 9.32603, 9.32603, 9.32603, ramp_w, 6.743, 0.2788, 0.2962, NaN, NaN, NaN, NaN, NaN, NaN
67, 10, 10, 10, ramp_w, 7.305, 0.28, 0.2979, NaN, NaN, NaN, NaN, NaN, NaN
68, 10.7227, 10.7227, 10.7227, ramp_w, 7.666, 0.2849, 0.298, NaN, NaN, NaN, NaN, NaN, NaN
69, 11.4976, 11.4976, 11.4976, ramp_w, 8.413, 0.2825, 0.2973, NaN, NaN, NaN, NaN, NaN, NaN
70, 12.3285, 12.3285, 12.3285, ramp_w, 9.065, 0.2827, 0.3013, NaN, NaN, NaN, NaN, NaN, NaN
71, 13.2194, 13.2194, 13.2194, ramp_w, 9.897, 0.2824, 0.3004, NaN, NaN, NaN, NaN, NaN, NaN
72, 14.1747, 14.1747, 14.1747, ramp_w, 10.696, 0.2804, 0.2963, NaN, NaN, NaN, NaN, NaN, NaN
73, 15.1991, 15.1991, 15.1991, ramp_w, 11.341, 0.2825, 0.2954, NaN, NaN, NaN, NaN, NaN, NaN
74, 16.2975, 16.2975, 16.2975, ramp_w, 12.267, 0.2821, 0.2974, NaN, NaN, NaN, NaN, NaN, NaN
