Size_Degree,VRR_Frequency,Luminance,Luminance_high,Luminance_low,C_t,C_t_high,C_t_low
0.5,0.5,0.7261208310548597,0.9600793783979837,0.5982257539066169,0.049260870891323055,0.0613481266790177,0.035747172923759535
1.0,0.5,1.0081126482889382,1.2522876982409454,0.7891079249100794,0.03383044403162153,0.044308271021408836,0.026582600266065477
16.0,0.5,1.3290097468683308,1.4879308825857387,1.0028517830038952,0.02440235390092605,0.0338284190838663,0.021388476787301186
-1.0,0.5,1.96751691553551,2.132855375230176,1.7277377391622533,0.013511338151757812,0.01597382468751387,0.012174966005210678
0.5,2.0,1.1393539826126455,1.2892762155529394,1.0350900402545857,0.0293097792166567,0.03276592413296215,0.02537573874363941
1.0,2.0,1.3645338768217308,1.506208854152747,1.2295871706148425,0.02415205228205762,0.02713053592082307,0.021622703642194395
16.0,2.0,1.9273982683003457,2.267291504156025,1.6157059053354998,0.015791310935976792,0.019422971747904718,0.013043080932149847
-1.0,2.0,2.1798686752771954,2.279891068335596,2.0616225434946673,0.01183684056025799,0.012720852676930506,0.011170016026993941
0.5,4.0,1.4426374730297424,1.5429639345121182,1.102729912878791,0.02224866694119133,0.030444737643129847,0.02056150493728584
1.0,4.0,1.56192945043665,1.6588333993716868,1.4306023464272695,0.020759272728918407,0.02290726096975848,0.019402298984663814
16.0,4.0,2.4956754097883045,2.642957081216865,2.3633590074304323,0.011646893508508747,0.012420185487353961,0.010884331662881061
-1.0,4.0,2.7555492424048293,3.0725335204559205,2.5163259958316195,0.008740180370267891,0.009831310982175967,0.007589180180402229
0.5,8.0,1.5265259908868694,1.6381047051307676,1.4225052807670873,0.020821642256207543,0.022618063615408357,0.019165769712077934
1.0,8.0,1.9483920034035676,2.1435065158146114,1.7610162729049534,0.016187994636736206,0.01814087881970694,0.014535113162008815
16.0,8.0,4.589756140632749,4.867089614115524,4.266205175153033,0.005659649415904402,0.006172845404549419,0.005278646548190355
-1.0,8.0,3.8657487703683424,4.041659861833638,3.6966793900579407,0.005631768209665643,0.005968861769199185,0.0053151334678680365
