idx, R, G, B, type, Y, x, y, L, M, S, Y1, x1, y1
48, 0.149288, 0.149288, 0.149288, ramp_w, 0.089, 0.2847, 0.3167, NaN, NaN, NaN, NaN, NaN, NaN
49, 0.150566, 0.150566, 0.150566, ramp_w, 0.088, 0.2867, 0.3154, NaN, NaN, NaN, NaN, NaN, NaN
50, 0.151856, 0.151856, 0.151856, ramp_w, 0.092, 0.2897, 0.3172, NaN, NaN, NaN, NaN, NaN, NaN
51, 0.153156, 0.153156, 0.153156, ramp_w, 0.091, 0.2813, 0.316, NaN, NaN, NaN, NaN, NaN, NaN
52, 0.154467, 0.154467, 0.154467, ramp_w, 0.09, 0.2862, 0.318, NaN, NaN, NaN, NaN, NaN, NaN
53, 0.15579, 0.15579, 0.15579, ramp_w, 0.089, 0.2872, 0.3156, NaN, NaN, NaN, NaN, NaN, NaN
54, 0.157124, 0.157124, 0.157124, ramp_w, 0.088, 0.2806, 0.3165, NaN, NaN, NaN, NaN, NaN, NaN
55, 0.158469, 0.158469, 0.158469, ramp_w, 0.089, 0.2832, 0.319, NaN, NaN, NaN, NaN, NaN, NaN
56, 0.159826, 0.159826, 0.159826, ramp_w, 0.091, 0.2852, 0.3204, NaN, NaN, NaN, NaN, NaN, NaN
57, 0.161194, 0.161194, 0.161194, ramp_w, 0.089, 0.2832, 0.319, NaN, NaN, NaN, NaN, NaN, NaN
58, 0.162574, 0.162574, 0.162574, ramp_w, 0.09, 0.2883, 0.3203, NaN, NaN, NaN, NaN, NaN, NaN
59, 0.163966, 0.163966, 0.163966, ramp_w, 0.106, 0.2848, 0.3212, NaN, NaN, NaN, NaN, NaN, NaN
60, 0.16537, 0.16537, 0.16537, ramp_w, 0.103, 0.2844, 0.315, NaN, NaN, NaN, NaN, NaN, NaN
61, 0.166786, 0.166786, 0.166786, ramp_w, 0.104, 0.2844, 0.318, NaN, NaN, NaN, NaN, NaN, NaN
62, 0.168214, 0.168214, 0.168214, ramp_w, 0.109, 0.2874, 0.3196, NaN, NaN, NaN, NaN, NaN, NaN
63, 0.169655, 0.169655, 0.169655, ramp_w, 0.107, 0.2832, 0.3156, NaN, NaN, NaN, NaN, NaN, NaN
64, 0.171107, 0.171107, 0.171107, ramp_w, 0.108, 0.2853, 0.3176, NaN, NaN, NaN, NaN, NaN, NaN
65, 0.172572, 0.172572, 0.172572, ramp_w, 0.108, 0.2882, 0.3176, NaN, NaN, NaN, NaN, NaN, NaN
