VRR_Frequency,Size_Degree,Eccentricity,GroupCount,numel_Response,threshold,threshold_ci_low,threshold_ci_high,threshold_se
8,4,0,40,40,0.115277854741891,0.112456015318239,0.118162571859581,NaN
8,4,5,40,40,0.102614206903731,0.100058875800524,0.105056655930774,NaN
8,4,10,40,40,0.0833182364823171,0.0787052061018584,0.0881998964402457,NaN
8,4,15,40,40,0.0688363071502278,0.0662165798982721,0.0714931639968421,NaN
8,4,20,40,40,0.068258266244611,0.0631446458287731,0.0705145915600133,NaN
8,4,25,40,40,0.0633805992800556,0.0589764665330239,0.0665744125401805,NaN
8,4,30,40,40,0.0641812533448253,0.0600640074466758,0.0691864610837667,NaN
