Size_Degree,VRR_Frequency,Luminance,Luminance_high,Luminance_low,C_t,C_t_high,C_t_low
0.5,10,1.0063885599880305,1.1157212184803877,0.8961420355932197,0.03385110955555248,0.03870631072479161,0.030033074440129582
1.0,10,1.9630558515896015,2.1165587537347106,1.7937373325315566,0.016051705335449324,0.01776884955309134,0.01474427415123963
16.0,10,2.813351700543138,3.01788330959435,2.6288415605259705,0.010109570519908337,0.010953408406135382,0.009304264660885068
-1.0,10,3.3960443393553215,3.557487018380693,3.234539626353014,0.0066642876008129225,0.007099555719129062,0.006274109654914494
0.5,12,0.8471545669858116,1.2700017273926998,0.6616342495114471,0.04129285193051366,0.05475196063462868,0.025826104107836947
1.0,12,1.2953796150705976,1.4082818312210528,1.1943572683740753,0.02559748616889835,0.028023917099287497,0.023314136555725423
16.0,12,4.507739766702385,5.0328650615142445,4.025000699321171,0.005782148002726861,0.006614273922836326,0.005072693556038277
-1.0,12,3.8521171104055667,4.093428277956019,3.50649275082152,0.0056576924922643315,0.006392911366865566,0.005227874819401619
0.5,14,0.7237132222122699,0.8402506808188511,0.539261998118069,0.049447646734468186,0.06891326703340805,0.041682885643949744
1.0,14,0.4924000155530668,0.5817137011222456,,0.07373009020502051,,0.06169958680296384
16.0,14,4.3667728506746055,5.122282736691741,4.067408221702034,0.006004445137703469,0.006532526531770964,0.004967630713243797
-1.0,14,3.6032011700791573,3.7603310248090898,3.3942241957770785,0.006170877196621514,0.0066689294330032015,0.005837872177851015
1.0,16,0.47294063921741836,0.5998989178887414,,0.07694893321828114,,0.05968844839952935
16.0,16,2.103737171849916,2.2887152300341844,1.951793774028575,0.014245838110173051,0.015559513657001223,0.012899266288213071
-1.0,16,3.4114858194716944,3.573234361286892,3.196546366633624,0.006625135924512121,0.007209290912792794,0.006238207023694329
