Size_Degree,VRR_Frequency,FRR,Luminance,Luminance_high,Luminance_low,C_t,C_t_high,C_t_low
0.5,10,10,1.19610420183725,1.38565297677326,1.06583413667947,0.012058502341379,0.0153770830521245,0.00855386016221686
1,10,10,3.56246698104624,3.78213058157272,3.31817191468751,0.000254870020226328,0.000292270483228527,0.000254870020226328
16,10,10,3.49463829635806,4.39324744912584,3.27372116621861,0.000259463349736141,0.000306011584532872,0.000259463349736141
-1,10,10,4.68512766308688,4.86393986121503,4.50588562787336,0.000517881324715853,0.000517881324715853,0.000517881324715853
0.5,12,11.9,0.782972636155783,0.874549859806835,0.473839594256053,0.0319802797387431,0.063013886775297,0.0269384997380016
1,12,11.9,2.17134760411055,2.32777634066323,1.99085497213192,0.00405200428029065,0.00508907072318745,0.00335041529246147
16,12,11.9,3.49798223960016,3.66337411194642,3.31342444916054,0.00109616380762483,0.00124776569860504,0.000994028814987547
-1,12,11.9,3.57219962392798,3.80868733334495,3.31909277560116,0.00104682714174189,0.00124242391717722,0.000925401922724896
0.5,14,13.3,0.473839594256053,0.974526770729586,0.473839594256053,0.0704608163413424,0.0704608163413424,0.0277376241224983
1,14,13.3,1.3114946428642,1.50272071361076,1.09480657136112,0.0174318705690246,0.023266571310901,0.0138419445301523
16,14,13.3,5.20064904216726,5.70668483446449,3.20569654703165,0.00187141802029943,0.00346961555965565,0.00171052788016489
-1,14,13.3,3.7256232904827,3.99194516854912,3.49690450037639,0.00274622457168146,0.00301696427698118,0.0024994192454593
0.5,16,14.9,0.473839594256053,0.644334306027347,0.473839594256053,0.0819619933183805,0.0819619933183805,0.0589660635063155
1,16,14.9,0.707575761794769,0.861240179643837,0.590333807694605,0.0530424762576221,0.0649459720715983,0.0421073009190527
16,16,14.9,4.70871731757434,6.10155934796274,4.43424268428401,0.00512560598618516,0.00543806942391898,0.00392869802924792
-1,16,14.9,6.8805084942713,7.27854873696274,6.49589963954275,0.00337239197905211,0.00364373420313768,0.00309343155205271
