Size_Degree,VRR_Frequency,FRR,Luminance,Luminance_high,Luminance_low,Sensitivity,Sensitivity_high,Sensitivity_low
0.5,10,10,1.19610420183725,1.38565297677326,1.06583413667947,65.7995679086856,82.8199548638064,54.9417804745344
1,10,10,3.56246698104624,3.78213058157272,3.31817191468751,362.655401348274,398.2297861125,324.521931185982
16,10,10,3.49463829635806,4.39324744912584,3.27372116621861,351.91482080079,503.344815171964,317.748747087667
-1,10,10,4.68512766308688,4.86393986121503,4.50588562787336,556.615100327786,590.194225843931,523.672959022298
0.5,12,11.9,0.782972636155783,0.874549859806835,0.473839594256053,32.5720853920503,38.7233823583848,14.8501253737527
1,12,11.9,2.17134760411055,2.32777634066323,1.99085497213192,160.559691672104,179.013426571456,140.182141010591
16,12,11.9,3.49798223960016,3.66337411194642,3.31342444916054,338.459419853846,363.818387438288,310.950337235205
-1,12,11.9,3.57219962392798,3.80868733334495,3.31909277560116,349.757184421773,386.638981353983,311.782663450646
0.5,14,13.3,0.473839594256053,0.974526770729586,0.473839594256053,14.4137181867241,44.5182373888887,14.4137181867241
1,14,13.3,1.3114946428642,1.50272071361076,1.09480657136112,70.8339420729317,87.6370283443731,53.4052921861712
16,14,13.3,5.20064904216726,5.70668483446449,3.20569654703165,610.833059635195,706.301011478303,286.607367495644
-1,14,13.3,3.7256232904827,3.99194516854912,3.49690450037639,362.555769229029,403.896448225737,328.354683461076
0.5,16,14.9,0.473839594256053,0.644334306027347,0.473839594256053,13.930648947415,22.5280525598513,13.930648947415
1,16,14.9,0.707575761794769,0.861240179643837,0.590333807694605,26.0804697145905,35.4648664526527,19.6459623105318
16,16,14.9,4.70871731757434,6.10155934796274,4.43424268428401,505.390261236055,757.928060241304,460.08154490244
-1,16,14.9,6.8805084942713,7.27854873696274,6.49589963954275,914.603826521785,998.689940890519,835.919188670413
