Size_Degree,VRR_Frequency,FRR,Luminance,Luminance_high,Luminance_low,C_t,C_t_high,C_t_low
0.5,0.5,0.5,0.489164480399116,0.596198971852096,0.473839594256053,0.0550358568033088,0.0571636583569491,0.0430641937847271
1,0.5,0.5,0.611106746668307,0.713717124327393,0.497453543246568,0.0417159884329414,0.0539357767275316,0.0339399605004688
16,0.5,0.5,1.79650033305585,1.95646990931972,1.64143768472922,0.00789755451119945,0.00923241511184342,0.00681365805109493
-1,0.5,0.5,2.42448205889804,2.61120684072648,2.42448205889804,0.00474441625481068,0.00474441625481068,0.00421325715347336
0.5,2,2,1.03950374668238,1.27744013654897,0.866096983666119,0.0185021634050628,0.0244845407908744,0.0132671058911272
1,2,2,2.23476381667624,3.12438135966671,1.78385821212618,0.00547638680469752,0.00765989964638298,0.00390434656778009
16,2,2,2.29886421512013,2.90037859311863,1.97943845572283,0.00527565263531947,0.00651497553704589,0.00412026682543764
-1,2,2,3.92539335915397,4.14210635086186,3.620030554273,0.00355131395194292,0.00363434772869543,0.00351322379468817
0.5,4,4,1.35285801429756,1.4629477239568,1.23852632114145,0.0104320109267861,0.0122341571115048,0.00904655177026307
1,4,4,1.37253496185037,1.54838985444543,1.17395258484669,0.0101617514294822,0.013457277699708,0.00815837852828544
16,4,4,3.01226895684885,3.3044225559146,2.76868491112897,0.00345939637783161,0.00360443419066958,0.00339816067338795
-1,4,4,3.60108896335244,3.80906532398832,2.90127498093255,0.00341607971984602,0.00351249741724418,0.00341607971984602
0.5,8,8,0.937463840987402,1.71290904884663,0.937463840987402,0.0179370366448324,0.0179370366448324,0.00428591243893205
1,8,8,2.22792871840489,2.51663878698753,1.99322261855836,0.00185284603095423,0.00267597759769981,0.0012545061400563
16,8,8,4.83557381200851,5.10829533340867,4.56867851321181,0.00154191966608499,0.00154191966608499,0.00154191966608499
-1,8,8,6.23650443764141,6.23650443764141,6.04003921481372,0.00224287186747331,0.00224287186747331,0.00224287186747331
0.5,10,10,0.522617586805471,0.644116672096669,0.522617586805471,0.0494611102151137,0.0494611102151137,0.0367666188425511
1,10,10,1.15894056308362,1.30042055854958,1.03226706436181,0.0129149661049363,0.0163928973991612,0.00997057793744229
16,10,10,3.68316613880027,4.24395406695797,3.48422541632072,0.000255850597247198,0.000260530441182707,0.000255850597247198
-1,10,10,4.31345211623806,5.6031635440895,3.96523935350222,0.000387934579870193,0.000387934579870193,0.000387934579870193
0.5,12,11.9,0.473839594256053,0.473839594256053,0.473839594256053,0.063013886775297,0.063013886775297,0.063013886775297
1,12,11.9,0.860180411895582,1.02178995605064,0.670783794728833,0.0276563624212998,0.0400542471229365,0.0208071157467687
16,12,11.9,6.33829883253322,6.81780203498891,5.696200278144,0.000790280337231542,0.000790280337231542,0.000775476056111484
-1,12,11.9,4.15459693123264,4.44934335210723,3.95592723589245,0.000821487999303351,0.000872263304702841,0.000778968244718913
1,14,13.3,0.473839594256053,0.545300165023747,0.473839594256053,0.0704608163413424,0.0704608163413424,0.0598692027603094
16,14,13.3,3.61774062115228,3.79712312312366,3.4240498087356,0.00286610985456512,0.00311746731249783,0.00267358518140999
-1,14,13.3,4.26637746525959,4.53615251930451,3.96302353291724,0.00230173180686349,0.00252327864784868,0.00214766162386748
0.5,16,14.9,0.473839594256053,0.473839594256053,0.473839594256053,0.0819619933183805,0.0819619933183805,0.0819619933183805
16,16,14.9,6.2622406890619,6.90765015242668,4.2618352709132,0.00381136651950524,0.00565762271916991,0.00335335702290571
-1,16,14.9,4.85307976946704,5.16887180263004,4.55566878502293,0.0049761199635657,0.00529478220580781,0.00467668311380711
