Size_Degree,VRR_Frequency,FRR,Luminance,Luminance_high,Luminance_low,Sensitivity,Sensitivity_high,Sensitivity_low
0.5,0.5,0.5,0.489164480399116,0.596198971852096,0.473839594256053,19.8990548140953,27.1162869799194,18.9327392774772
1,0.5,0.5,0.611106746668307,0.713717124327393,0.497453543246568,28.1841300614415,35.9275153039695,20.4289175516815
16,0.5,0.5,1.79650033305585,1.95646990931972,1.64143768472922,152.196892151609,173.917256200405,132.15860999902
-1,0.5,0.5,2.42448205889804,2.61120684072648,2.42448205889804,243.229104625282,273.154738490525,243.229104625282
0.5,2,2,1.03950374668238,1.27744013654897,0.866096983666119,62.6522019585342,86.4828764266024,47.0956211614551
1,2,2,2.23476381667624,3.12438135966671,1.78385821212618,207.392512435896,350.263237642174,145.790724143978
16,2,2,2.29886421512013,2.90037859311863,1.97943845572283,216.770754467197,311.792184932559,171.549931878848
-1,2,2,3.92539335915397,4.14210635086186,3.620030554273,500.505982661846,544.387577097552,440.965505555376
0.5,4,4,1.35285801429756,1.4629477239568,1.23852632114145,90.6534212660478,102.452124663388,78.9609702846944
1,4,4,1.37253496185037,1.54838985444543,1.17395258484669,92.7239381610132,111.962872699357,72.6179425091502
16,4,4,3.01226895684885,3.3044225559146,2.76868491112897,317.006957809511,366.388104954238,277.841810678957
-1,4,4,3.60108896335244,3.80906532398832,2.90127498093255,419.117264037764,457.584327835853,298.929832428229
0.5,8,8,0.937463840987402,1.71290904884663,0.937463840987402,46.9075953228325,120.405575252676,46.9075953228325
1,8,8,2.22792871840489,2.51663878698753,1.99322261855836,181.633093710801,219.764304439638,152.611184237944
16,8,8,4.83557381200851,5.10829533340867,4.56867851321181,610.278624646343,664.956578992202,558.426288021093
-1,8,8,6.23650443764141,6.23650443764141,6.04003921481372,908.512798564136,908.512798564136,864.152138211713
0.5,10,10,0.522617586805471,0.644116672096669,0.522617586805471,18.0243570123327,24.9938712493135,18.0243570123327
1,10,10,1.15894056308362,1.30042055854958,1.03226706436181,62.6303754628487,74.9922891864931,52.2598336554227
16,10,10,3.68316613880027,4.24395406695797,3.48422541632072,382.054076904728,476.851671642657,350.276283306796
-1,10,10,4.31345211623806,5.6031635440895,3.96523935350222,489.120315899819,736.360302430311,428.7909375935
0.5,12,11.9,0.473839594256053,0.473839594256053,0.473839594256053,14.8501253737527,14.8501253737527,14.8501253737527
1,12,11.9,0.860180411895582,1.02178995605064,0.670783794728833,37.7329549924624,49.3922258190316,25.5744441129761
16,12,11.9,6.33829883253322,6.81780203498891,5.696200278144,857.514223475936,961.110663278388,725.596057184775
-1,12,11.9,4.15459693123264,4.44934335210723,3.95592723589245,442.944509617633,493.063278956843,410.268430713128
1,14,13.3,0.473839594256053,0.545300165023747,0.473839594256053,14.4137181867241,17.9548601981006,14.4137181867241
16,14,13.3,3.61774062115228,3.79712312312366,3.4240498087356,346.271537377311,373.49617776244,317.718990957825
-1,14,13.3,4.26637746525959,4.53615251930451,3.96302353291724,448.154598883416,493.25623253823,399.329409773797
0.5,16,14.9,0.473839594256053,0.473839594256053,0.473839594256053,13.930648947415,13.930648947415,13.930648947415
16,16,14.9,6.2622406890619,6.90765015242668,4.2618352709132,789.374297733995,920.25250345335,432.413934735975
-1,16,14.9,4.85307976946704,5.16887180263004,4.55566878502293,529.831072015024,584.729529826383,479.936551807367
