idx, R, G, B, type, Y, x, y, L, M, S, Y1, x1, y1
1, 0.1, 0.1, 0.1, ramp_w, 0.155, 0.27, 0.31, NaN, NaN, NaN, NaN, NaN, NaN
2, 0.108984, 0.108984, 0.108984, ramp_w, 0.137, 0.27, 0.3135, NaN, NaN, NaN, NaN, NaN, NaN
3, 0.118775, 0.118775, 0.118775, ramp_w, 0.128, 0.2714, 0.313, NaN, NaN, NaN, NaN, NaN, NaN
4, 0.129446, 0.129446, 0.129446, ramp_w, 0.15, 0.2787, 0.3191, NaN, NaN, NaN, NaN, NaN, NaN
5, 0.141076, 0.141076, 0.141076, ramp_w, 0.172, 0.2786, 0.3173, NaN, NaN, NaN, NaN, NaN, NaN
6, 0.153751, 0.153751, 0.153751, ramp_w, 0.165, 0.278, 0.3185, NaN, NaN, NaN, NaN, NaN, NaN
7, 0.167564, 0.167564, 0.167564, ramp_w, 0.155, 0.2772, 0.3183, NaN, NaN, NaN, NaN, NaN, NaN
8, 0.182618, 0.182618, 0.182618, ramp_w, 0.175, 0.2826, 0.3211, NaN, NaN, NaN, NaN, NaN, NaN
9, 0.199025, 0.199025, 0.199025, ramp_w, 0.195, 0.2827, 0.3186, NaN, NaN, NaN, NaN, NaN, NaN
10, 0.216905, 0.216905, 0.216905, ramp_w, 0.234, 0.279, 0.3154, NaN, NaN, NaN, NaN, NaN, NaN
11, 0.236392, 0.236392, 0.236392, ramp_w, 0.236, 0.2813, 0.3176, NaN, NaN, NaN, NaN, NaN, NaN
12, 0.25763, 0.25763, 0.25763, ramp_w, 0.247, 0.2797, 0.3127, NaN, NaN, NaN, NaN, NaN, NaN
13, 0.280776, 0.280776, 0.280776, ramp_w, 0.246, 0.2774, 0.3102, NaN, NaN, NaN, NaN, NaN, NaN
14, 0.306001, 0.306001, 0.306001, ramp_w, 0.256, 0.281, 0.3114, NaN, NaN, NaN, NaN, NaN, NaN
15, 0.333493, 0.333493, 0.333493, ramp_w, 0.257, 0.2822, 0.3127, NaN, NaN, NaN, NaN, NaN, NaN
16, 0.363454, 0.363454, 0.363454, ramp_w, 0.284, 0.2802, 0.306, NaN, NaN, NaN, NaN, NaN, NaN
17, 0.396108, 0.396108, 0.396108, ramp_w, 0.299, 0.2778, 0.3076, NaN, NaN, NaN, NaN, NaN, NaN
18, 0.431695, 0.431695, 0.431695, ramp_w, 0.332, 0.2786, 0.3013, NaN, NaN, NaN, NaN, NaN, NaN
19, 0.470479, 0.470479, 0.470479, ramp_w, 0.328, 0.2768, 0.3057, NaN, NaN, NaN, NaN, NaN, NaN
20, 0.512747, 0.512747, 0.512747, ramp_w, 0.352, 0.2806, 0.2993, NaN, NaN, NaN, NaN, NaN, NaN
21, 0.558813, 0.558813, 0.558813, ramp_w, 0.371, 0.2804, 0.3006, NaN, NaN, NaN, NaN, NaN, NaN
22, 0.609018, 0.609018, 0.609018, ramp_w, 0.409, 0.2789, 0.3034, NaN, NaN, NaN, NaN, NaN, NaN
23, 0.663733, 0.663733, 0.663733, ramp_w, 0.448, 0.2799, 0.2993, NaN, NaN, NaN, NaN, NaN, NaN
24, 0.723364, 0.723364, 0.723364, ramp_w, 0.446, 0.2778, 0.3007, NaN, NaN, NaN, NaN, NaN, NaN
25, 0.788352, 0.788352, 0.788352, ramp_w, 0.478, 0.2813, 0.3008, NaN, NaN, NaN, NaN, NaN, NaN
26, 0.859178, 0.859178, 0.859178, ramp_w, 0.525, 0.2784, 0.2923, NaN, NaN, NaN, NaN, NaN, NaN
27, 0.936368, 0.936368, 0.936368, ramp_w, 0.556, 0.2843, 0.2983, NaN, NaN, NaN, NaN, NaN, NaN
28, 1.02049, 1.02049, 1.02049, ramp_w, 0.561, 0.2853, 0.2992, NaN, NaN, NaN, NaN, NaN, NaN
29, 1.11218, 1.11218, 1.11218, ramp_w, 0.61, 0.2824, 0.3048, NaN, NaN, NaN, NaN, NaN, NaN
30, 1.2121, 1.2121, 1.2121, ramp_w, 0.707, 0.2822, 0.2938, NaN, NaN, NaN, NaN, NaN, NaN
31, 1.32099, 1.32099, 1.32099, ramp_w, 0.769, 0.2813, 0.2915, NaN, NaN, NaN, NaN, NaN, NaN
32, 1.43967, 1.43967, 1.43967, ramp_w, 0.797, 0.2801, 0.3029, NaN, NaN, NaN, NaN, NaN, NaN
33, 1.56901, 1.56901, 1.56901, ramp_w, 0.931, 0.282, 0.2914, NaN, NaN, NaN, NaN, NaN, NaN
34, 1.70998, 1.70998, 1.70998, ramp_w, 0.949, 0.2858, 0.2944, NaN, NaN, NaN, NaN, NaN, NaN
35, 1.8636, 1.8636, 1.8636, ramp_w, 1.029, 0.282, 0.3007, NaN, NaN, NaN, NaN, NaN, NaN
36, 2.03103, 2.03103, 2.03103, ramp_w, 1.128, 0.2811, 0.2989, NaN, NaN, NaN, NaN, NaN, NaN
37, 2.2135, 2.2135, 2.2135, ramp_w, 1.178, 0.2867, 0.2919, NaN, NaN, NaN, NaN, NaN, NaN
38, 2.41237, 2.41237, 2.41237, ramp_w, 1.352, 0.2824, 0.3014, NaN, NaN, NaN, NaN, NaN, NaN
39, 2.6291, 2.6291, 2.6291, ramp_w, 1.483, 0.2794, 0.2964, NaN, NaN, NaN, NaN, NaN, NaN
40, 2.8653, 2.8653, 2.8653, ramp_w, 1.659, 0.2814, 0.3003, NaN, NaN, NaN, NaN, NaN, NaN
41, 3.12272, 3.12272, 3.12272, ramp_w, 1.854, 0.2789, 0.3001, NaN, NaN, NaN, NaN, NaN, NaN
42, 3.40327, 3.40327, 3.40327, ramp_w, 2.002, 0.2872, 0.2952, NaN, NaN, NaN, NaN, NaN, NaN
43, 3.70903, 3.70903, 3.70903, ramp_w, 2.32, 0.2873, 0.2921, NaN, NaN, NaN, NaN, NaN, NaN
44, 4.04225, 4.04225, 4.04225, ramp_w, 2.552, 0.2771, 0.298, NaN, NaN, NaN, NaN, NaN, NaN
45, 4.40541, 4.40541, 4.40541, ramp_w, 2.865, 0.2823, 0.3038, NaN, NaN, NaN, NaN, NaN, NaN
46, 4.8012, 4.8012, 4.8012, ramp_w, 3.119, 0.2802, 0.3036, NaN, NaN, NaN, NaN, NaN, NaN
47, 5.23255, 5.23255, 5.23255, ramp_w, 3.498, 0.2802, 0.3041, NaN, NaN, NaN, NaN, NaN, NaN
48, 5.70265, 5.70265, 5.70265, ramp_w, 3.799, 0.2881, 0.2995, NaN, NaN, NaN, NaN, NaN, NaN
49, 6.21498, 6.21498, 6.21498, ramp_w, 4.076, 0.2873, 0.2986, NaN, NaN, NaN, NaN, NaN, NaN
50, 6.77335, 6.77335, 6.77335, ramp_w, 4.627, 0.2874, 0.3023, NaN, NaN, NaN, NaN, NaN, NaN
51, 7.38187, 7.38187, 7.38187, ramp_w, 5.127, 0.2876, 0.2986, NaN, NaN, NaN, NaN, NaN, NaN
52, 8.04507, 8.04507, 8.04507, ramp_w, 5.616, 0.2841, 0.2952, NaN, NaN, NaN, NaN, NaN, NaN
53, 8.76785, 8.76785, 8.76785, ramp_w, 6.218, 0.2856, 0.2993, NaN, NaN, NaN, NaN, NaN, NaN
54, 9.55557, 9.55557, 9.55557, ramp_w, 6.936, 0.2851, 0.2985, NaN, NaN, NaN, NaN, NaN, NaN
55, 10.4141, 10.4141, 10.4141, ramp_w, 7.616, 0.2838, 0.2969, NaN, NaN, NaN, NaN, NaN, NaN
56, 11.3497, 11.3497, 11.3497, ramp_w, 8.433, 0.2825, 0.298, NaN, NaN, NaN, NaN, NaN, NaN
57, 12.3693, 12.3693, 12.3693, ramp_w, 9.303, 0.2817, 0.2961, NaN, NaN, NaN, NaN, NaN, NaN
58, 13.4806, 13.4806, 13.4806, ramp_w, 10.151, 0.2836, 0.2987, NaN, NaN, NaN, NaN, NaN, NaN
59, 14.6917, 14.6917, 14.6917, ramp_w, 11.284, 0.2817, 0.2981, NaN, NaN, NaN, NaN, NaN, NaN
60, 16.0117, 16.0117, 16.0117, ramp_w, 12.384, 0.2814, 0.2974, NaN, NaN, NaN, NaN, NaN, NaN
61, 17.4502, 17.4502, 17.4502, ramp_w, 13.672, 0.2825, 0.2975, NaN, NaN, NaN, NaN, NaN, NaN
62, 19.0179, 19.0179, 19.0179, ramp_w, 15.043, 0.282, 0.2966, NaN, NaN, NaN, NaN, NaN, NaN
63, 20.7265, 20.7265, 20.7265, ramp_w, 16.373, 0.2827, 0.297, NaN, NaN, NaN, NaN, NaN, NaN
64, 22.5886, 22.5886, 22.5886, ramp_w, 17.69, 0.2822, 0.2966, NaN, NaN, NaN, NaN, NaN, NaN
65, 24.618, 24.618, 24.618, ramp_w, 19.777, 0.2803, 0.294, NaN, NaN, NaN, NaN, NaN, NaN
66, 26.8298, 26.8298, 26.8298, ramp_w, 21.239, 0.281, 0.2948, NaN, NaN, NaN, NaN, NaN, NaN
67, 29.2402, 29.2402, 29.2402, ramp_w, 23.687, 0.2814, 0.2957, NaN, NaN, NaN, NaN, NaN, NaN
68, 31.8672, 31.8672, 31.8672, ramp_w, 25.825, 0.2811, 0.295, NaN, NaN, NaN, NaN, NaN, NaN
69, 34.7302, 34.7302, 34.7302, ramp_w, 28.286, 0.2815, 0.2941, NaN, NaN, NaN, NaN, NaN, NaN
70, 37.8504, 37.8504, 37.8504, ramp_w, 31.538, 0.283, 0.2961, NaN, NaN, NaN, NaN, NaN, NaN
71, 41.2509, 41.2509, 41.2509, ramp_w, 33.999, 0.2826, 0.2946, NaN, NaN, NaN, NaN, NaN, NaN
72, 44.9569, 44.9569, 44.9569, ramp_w, 36.698, 0.2822, 0.2936, NaN, NaN, NaN, NaN, NaN, NaN
73, 48.9959, 48.9959, 48.9959, ramp_w, 40.993, 0.28, 0.2921, NaN, NaN, NaN, NaN, NaN, NaN
74, 53.3978, 53.3978, 53.3978, ramp_w, 44.377, 0.2813, 0.294, NaN, NaN, NaN, NaN, NaN, NaN
