Size_Degree,VRR_Frequency,FRR,Luminance,Luminance_high,Luminance_low,C_t,C_t_high,C_t_low
0.5,0.5,0.5,0.677010428618531,0.775210008978745,0.594832270350581,0.0364530818815257,0.0431910699731299,0.0302683554782311
1,0.5,0.5,1.21556976940744,1.52854816326233,0.96371322514302,0.0153009490208305,0.0220319486490492,0.0104345376132983
16,0.5,0.5,2.3753015065169,2.61210425387211,2.17683360673548,0.00490626820705232,0.00567594453723603,0.00421098671064268
-1,0.5,0.5,1.00574600564233,1.17386830783259,0.657822691427338,0.0206440533070068,0.0378780920652208,0.0161895936333883
0.5,2,2,1.2526006995623,1.39171966838957,1.08763437676862,0.0137020079990307,0.0172213088518447,0.0115156000060313
1,2,2,2.71902412716584,2.89270822246552,2.54408338376326,0.00436179103984454,0.00467070574367499,0.00412912982859044
16,2,2,2.99417374857598,3.27432915956531,2.75470698805743,0.00402027350537076,0.0043086103113575,0.00379811785646392
-1,2,2,2.63426569703221,2.95510274521664,2.36953421458923,0.00450083429344481,0.00507671486496289,0.00406010159371393
0.5,4,4,1.87689830009311,1.99542899065903,1.74944267107769,0.00581362397960154,0.0065578763771608,0.00526268167117012
1,4,4,2.36021938846473,2.65314529425115,2.15502199523596,0.00416741075421223,0.00468930521219792,0.00371516140086884
16,4,4,3.10331754824751,3.48194044752541,2.80451415019422,0.003429410741672,0.00357618167120902,0.00340156724583751
-1,4,4,3.08176718184681,3.38493334128821,2.79446563226502,0.00343550644996759,0.00358383594440873,0.00339665239821864
0.5,8,8,1.99508315588947,2.23728611063715,1.78189695065889,0.00266788044127136,0.00380795741636702,0.00182725295536504
1,8,8,3.08776395895577,3.57228513683457,2.75222117179045,0.000837735576273885,0.000990754461283657,0.000837735576273885
16,8,8,3.52541777141411,3.69921860256622,3.21011644594992,0.000874157014790034,0.000874157014790034,0.000874157014790034
-1,8,8,2.95020824209126,3.09583628916027,2.76755675374921,0.00087544670156842,0.000978797184607864,0.000836422644988125
