Size_Degree,VRR_Frequency,Luminance,Luminance_high,Luminance_low,C_t,C_t_high,C_t_low
0.5,0.5,1.003722483209049,1.111491557145929,0.9115787890762288,0.033955250963096165,0.03795176438556152,0.030165979154799502
1.0,0.5,1.3662429653151382,1.6589833227265018,1.1270746848305941,0.024118263945079453,0.02989191361230755,0.019400328432138625
16.0,0.5,2.376092025428994,2.592316851317382,2.1952004913295284,0.012341710577095296,0.013549359113330347,0.011135937156307936
-1.0,0.5,1.2145962941068142,1.3816036545885406,0.861006040392964,0.025088488793269886,0.0387884165978003,0.021281903308305126
0.5,2.0,1.6122686167886615,1.7535879975298885,1.4424972703974197,0.01952727829517746,0.02225120123214867,0.017689570383111298
1.0,2.0,2.7591152780244377,2.919799535619808,2.5975030175233202,0.010923058818592584,0.011696285926059707,0.010243958548449995
16.0,2.0,2.9425148811734174,3.200615523698512,2.722807739062659,0.009586880446088322,0.010508164987800557,0.008678836423698405
-1.0,2.0,2.8031467741070974,3.114941470067249,2.546336643697913,0.0085482995580227,0.009681550654116074,0.007455375853187693
0.5,4.0,2.2375851514268827,2.3543998657263527,2.111463304971887,0.013267591282649979,0.014209463732992431,0.012492316922636849
1.0,4.0,2.4278209306293914,2.6982316363483605,2.2385342509539834,0.012625972761592861,0.013839919616381218,0.011202829517855617
16.0,4.0,3.042922019342418,3.392707402263126,2.7684422566622042,0.009213735307250384,0.010303736316010873,0.008099924867179906
-1.0,4.0,3.2382671165575196,3.53408368279655,2.9587367575273404,0.007088948312139506,0.007970002403999804,0.006328145016942234
0.5,8.0,2.3540596230386917,2.591652684538877,2.143633988727171,0.012494454096926176,0.01395780481941337,0.011149489871279063
1.0,8.0,3.1006058350157555,3.551741139187853,2.7898076804043863,0.009568820992334984,0.010786927150092942,0.008200582365976936
16.0,8.0,3.4330290789071807,3.59455438848839,3.141348828518294,0.00798733062972161,0.008873028564796295,0.0075637562421878865
-1.0,8.0,3.1101788690759777,3.2519745661382053,2.932589982380555,0.007470194716531527,0.008062290165028104,0.007050179939471948
