Size_Degree,VRR_Frequency,FRR,Luminance,Luminance_high,Luminance_low,Sensitivity,Sensitivity_high,Sensitivity_low
0.5,0.5,0.5,0.677010428618531,0.775210008978745,0.594832270350581,33.0799802508006,40.8847616936037,27.0191360067564
1,0.5,0.5,1.21556976940744,1.52854816326233,0.96371322514302,82.620969869252,118.222309113645,57.4641104220222
16,0.5,0.5,2.3753015065169,2.61210425387211,2.17683360673548,235.557136091668,273.301569353095,205.510365269268
-1,0.5,0.5,1.00574600564233,1.17386830783259,0.657822691427338,61.4317092729434,78.2312758058761,31.6254929445494
0.5,2,2,1.2526006995623,1.39171966838957,1.08763437676862,83.8673913808628,98.8839009260003,67.2478131880947
1,2,2,2.71902412716584,2.89270822246552,2.54408338376326,281.844960887905,310.50358479261,254.004544764527
16,2,2,2.99417374857598,3.27432915956531,2.75470698805743,327.704383188738,376.906275492426,287.650910612326
-1,2,2,2.63426569703221,2.95510274521664,2.36953421458923,268.226006002711,321.041360630251,227.282371271633
0.5,4,4,1.87689830009311,1.99542899065903,1.74944267107769,151.271148905778,166.475174169628,135.516535891573
1,4,4,2.36021938846473,2.65314529425115,2.15502199523596,216.463482279813,259.923457467322,187.762404484474
16,4,4,3.10331754824751,3.48194044752541,2.80451415019422,332.119353522963,397.63326283688,283.485405904164
-1,4,4,3.08176718184681,3.38493334128821,2.79446563226502,328.519490728525,380.444636422652,281.898499698726
0.5,8,8,1.99508315588947,2.23728611063715,1.78189695065889,152.834027031872,182.827570175381,128.075243053384
1,8,8,3.08776395895577,3.57228513683457,2.75222117179045,302.600620699758,380.075002289141,252.775528497595
16,8,8,3.52541777141411,3.69921860256622,3.21011644594992,372.30544139217,401.406543436796,321.561216794015
-1,8,8,2.95020824209126,3.09583628916027,2.76755675374921,281.784794327448,303.838732636327,254.981747262641
