observer,age,session_id,repetition,luminance,frequency,color_direction,alpha,beta,size_ge,trial,contrast,response
rafal,41,274,1,1,1,1,0,0,-0.5,19,0.020413,1
rafal,41,274,1,1,4,3,0,0,-0.5,13,0.200395,0
rafal,41,274,1,1,4,1,0,0,-0.5,14,0.098918,0
rafal,41,274,1,1,1,1,0,0,-0.5,20,0.019582,0
rafal,41,274,1,1,4,3,0,0,-0.5,14,0.203189,0
rafal,41,274,1,1,4,1,0,0,-0.5,15,0.103112,0
rafal,41,274,1,1,1,1,0,0,-0.5,21,0.020697,1
rafal,41,274,1,1,1,1,0,0,-0.5,22,0.020413,1
rafal,41,274,1,1,4,2,0,0,-0.5,14,0.0687,1
rafal,41,274,1,1,4,3,0,0,-0.5,15,0.206021,1
rafal,41,274,1,1,4,3,0,0,-0.5,16,0.203189,0
rafal,41,274,1,1,1,1,0,0,-0.5,23,0.020132,0
rafal,41,274,1,1,4,3,0,0,-0.5,17,0.206021,1
rafal,41,274,1,1,4,1,0,0,-0.5,16,0.107485,0
rafal,41,274,1,1,1,2,0,0,-0.5,10,0.014778,1
rafal,41,274,1,1,4,3,0,0,-0.5,18,0.206021,1
rafal,41,274,1,1,1,2,0,0,-0.5,11,0.014575,1
rafal,41,274,1,1,1,2,0,0,-0.5,12,0.014375,0
rafal,41,274,1,1,4,1,0,0,-0.5,17,0.113604,1
rafal,41,274,1,1,1,1,0,0,-0.5,24,0.020413,0
rafal,41,274,1,1,4,3,0,0,-0.5,19,0.206021,0
rafal,41,274,1,1,4,1,0,0,-0.5,18,0.110502,1
rafal,41,274,1,1,4,1,0,0,-0.5,19,0.108983,1
rafal,41,274,1,1,1,2,0,0,-0.5,13,0.014778,0
rafal,41,274,1,1,4,2,0,0,-0.5,15,0.064106,1
rafal,41,274,1,1,1,2,0,0,-0.5,14,0.014984,1
rafal,41,274,1,1,1,1,0,0,-0.5,25,0.020986,1
rafal,41,274,1,1,1,3,0,0,-0.5,16,0.060095,1
rafal,41,274,1,1,4,2,0,0,-0.5,16,0.061498,1
rafal,41,274,1,1,4,1,0,0,-0.5,20,0.107485,1
