Block_ID,Stimulus_Contrast,Stimulus_Size,Stimulus_Color,Stimulus_Persistence,Stimulus_Eccentricity,Center_point_size,Center_point_color,Repeat_ID,CFF
0,0.5,1,0.5,0.1,15,1.0,1.0,0,4.0
1,0.5,4,0.2,0.5,10,0.1,0.1,0,25.60000000000008
2,0.5,4,0.2,0.5,20,1.0,0.1,0,26.70000000000009
3,1.0,4,0.5,0.1,20,0.1,0.1,0,6.79999999999999
4,0.5,4,0.5,0.1,0,1.0,0.1,0,6.199999999999992
5,0.5,4,0.5,0.1,15,0.1,0.1,0,6.199999999999992
6,0.5,1,0.5,0.5,15,0.1,0.1,0,12.299999999999958
7,1.0,1,0.2,0.5,5,0.1,1.0,0,17.09999999999996
8,1.0,1,0.5,0.1,20,0.1,1.0,0,4.0
9,1.0,4,0.5,0.5,5,0.1,0.1,0,30.200000000000145
10,1.0,1,0.5,0.5,10,0.1,0.1,0,16.49999999999995
11,1.0,1,0.2,0.5,15,1.0,1.0,0,12.299999999999958
12,0.5,1,0.2,0.5,20,0.1,0.1,0,9.199999999999967
13,1.0,1,0.2,0.1,0,1.0,0.1,0,4.0
14,1.0,1,0.2,0.1,15,1.0,1.0,0,4.0
15,1.0,1,0.2,0.5,20,0.1,0.1,0,12.199999999999958
16,1.0,1,0.2,0.5,10,1.0,1.0,0,11.99999999999996
17,0.5,1,0.2,0.5,10,0.1,0.1,0,12.399999999999958
18,0.5,4,0.5,0.1,0,0.1,0.1,0,6.89999999999999
19,0.5,4,0.5,0.1,10,1.0,0.1,0,7.499999999999988
20,0.5,4,0.2,0.1,10,1.0,0.1,0,6.0999999999999925
21,1.0,1,0.5,0.5,0,0.1,0.1,0,27.200000000000102
22,1.0,4,0.5,0.5,15,1.0,0.1,0,27.300000000000104
23,1.0,1,0.5,0.1,15,0.1,1.0,0,4.0
24,0.5,1,0.2,0.1,15,0.1,1.0,0,4.0
25,1.0,1,0.5,0.5,5,0.1,1.0,0,17.699999999999967
26,0.5,4,0.2,0.1,20,0.1,1.0,0,4.9999999999999964
27,0.5,1,0.5,0.1,5,0.1,1.0,0,4.0
28,1.0,4,0.5,0.5,10,1.0,1.0,0,30.800000000000157
29,1.0,4,0.2,0.1,10,0.1,0.1,0,6.69999999999999
30,0.5,4,0.5,0.5,15,1.0,1.0,0,29.80000000000014
31,0.5,1,0.5,0.1,0,0.1,1.0,0,7.099999999999989
32,1.0,4,0.2,0.1,10,0.1,1.0,0,6.999999999999989
33,0.5,1,0.2,0.1,5,1.0,0.1,0,4.0
34,1.0,4,0.2,0.1,15,1.0,1.0,0,5.999999999999993
35,1.0,1,0.2,0.5,5,1.0,1.0,0,13.399999999999954
36,0.5,4,0.2,0.1,10,1.0,1.0,0,4.799999999999997
37,0.5,4,0.2,0.1,20,1.0,0.1,0,4.0
38,0.5,1,0.5,0.1,0,1.0,1.0,0,4.0
39,1.0,1,0.5,0.5,15,1.0,1.0,0,12.499999999999956
40,1.0,4,0.5,0.5,5,1.0,1.0,0,30.000000000000146
41,1.0,4,0.2,0.5,15,1.0,1.0,0,21.50000000000002
42,0.5,4,0.5,0.1,20,1.0,0.1,0,5.299999999999995
43,1.0,1,0.5,0.5,0,1.0,0.1,0,13.499999999999954
44,0.5,1,0.5,0.1,0,1.0,0.1,0,4.0
45,1.0,1,0.5,0.1,5,0.1,0.1,0,4.499999999999998
46,1.0,1,0.2,0.1,5,0.1,0.1,0,4.0
47,1.0,4,0.5,0.1,5,0.1,1.0,0,6.199999999999992
48,0.5,4,0.2,0.5,15,1.0,1.0,0,17.99999999999997
49,0.5,4,0.2,0.1,0,0.1,1.0,0,4.899999999999997
50,1.0,4,0.2,0.5,15,1.0,0.1,0,25.100000000000072
51,0.5,4,0.5,0.5,10,1.0,1.0,0,29.400000000000134
52,0.5,1,0.5,0.5,20,0.1,1.0,0,12.199999999999958
53,1.0,4,0.5,0.5,15,0.1,1.0,0,28.000000000000117
54,0.5,1,0.5,0.5,5,0.1,1.0,0,12.899999999999956
55,1.0,1,0.5,0.1,10,0.1,0.1,0,4.0
56,1.0,1,0.2,0.5,20,1.0,1.0,0,5.099999999999984
57,1.0,4,0.2,0.1,15,1.0,0.1,0,5.399999999999995
0,0.5,4,0.5,0.5,0,1.0,0.1,0,29.90000000000014
1,0.5,1,0.2,0.5,20,0.1,1.0,0,13.099999999999955
2,0.5,4,0.5,0.5,15,0.1,1.0,0,34.80000000000021
3,0.5,1,0.2,0.1,15,0.1,0.1,0,4.0
5,1.0,1,0.5,0.1,5,1.0,1.0,0,5.799999999999994
6,1.0,4,0.5,0.5,20,0.1,0.1,0,31.000000000000156
7,0.5,1,0.2,0.5,10,1.0,1.0,0,18.299999999999976
8,0.5,4,0.2,0.1,20,1.0,1.0,0,6.299999999999979
9,1.0,1,0.2,0.1,20,0.1,0.1,0,4.0
12,1.0,4,0.5,0.1,0,1.0,0.1,0,6.499999999999991
13,1.0,1,0.5,0.5,0,0.1,1.0,0,25.70000000000008
14,0.5,1,0.2,0.1,15,1.0,0.1,0,4.0
15,1.0,1,0.5,0.5,20,0.1,0.1,0,21.200000000000017
17,1.0,1,0.2,0.5,10,0.1,1.0,0,20.300000000000004
18,0.5,4,0.5,0.5,0,0.1,0.1,0,24.90000000000007
19,0.5,1,0.5,0.1,20,1.0,1.0,0,4.0
20,1.0,1,0.5,0.5,5,0.1,0.1,0,20.70000000000001
21,0.5,4,0.5,0.5,5,0.1,1.0,0,30.60000000000015
23,0.5,1,0.2,0.5,5,0.1,1.0,0,16.099999999999945
24,0.5,1,0.2,0.1,20,1.0,1.0,0,4.0
25,1.0,4,0.2,0.5,20,1.0,0.1,0,30.900000000000155
27,0.5,1,0.2,0.1,0,1.0,0.1,0,4.0
28,0.5,1,0.2,0.1,5,0.1,1.0,0,4.0
30,1.0,4,0.5,0.1,15,0.1,1.0,0,6.299999999999979
