Size_Degree,VRR_Frequency,Luminance,Luminance_high,Luminance_low,C_t,C_t_high,C_t_low
0.5,0.5,1.0924687428378033,1.2428017796031647,0.9485460415146404,0.030777249718834127,0.03624986835134364,0.026487077671016997
1.0,0.5,1.7198114279210996,1.8285188143031488,1.5362012039418307,0.018630580100367587,0.02114978761773645,0.017388746620648772
16.0,0.5,1.048247476353119,1.844574047770555,,0.03214208032269708,,0.016627724568519072
-1.0,0.5,1.542862686921299,1.8125415812241217,,0.018474306009827277,,0.015018314487475619
0.5,2.0,1.9278381702552108,2.0346896019440455,1.8088239542304194,0.015820786697976697,0.017055084555468947,0.014844918558129626
1.0,2.0,1.9769819645176567,2.1151623573344143,1.71773720172099,0.015924246008150744,0.01865588496747182,0.014755266035446336
16.0,2.0,2.312189437444877,2.4479994737077067,2.183834380893146,0.012744994523919336,0.013632482570604646,0.011915096722512243
-1.0,2.0,2.8048190574163314,2.937143031821787,2.6709230165701494,0.008541693229940953,0.00910070054683995,0.008046084591889237
0.5,4.0,1.407787805748667,1.9154175345395206,1.2116807948213473,0.022895281895715654,0.02728225619052175,0.015941871077677767
1.0,4.0,2.413703151291778,2.7378938457448228,2.1361685264972876,0.012709570818391903,0.014591516369821124,0.011019077165150744
16.0,4.0,2.9371193664853124,3.115179028217704,2.751281294459179,0.00960771709618364,0.010379749216084196,0.008961334142136512
-1.0,4.0,3.271107679940508,3.4704871778978887,3.0310217014958885,0.00699668764695624,0.0077243131597593525,0.0064792064861912135
0.5,8.0,2.881510387260903,3.066923708599595,2.3960869904929583,0.009832068587640243,0.012235442361114585,0.009130418822654272
1.0,8.0,2.1860426400679147,2.346262020296366,2.010731233399981,0.01421603508448904,0.015623074438756412,0.01312363168743993
16.0,8.0,4.429418779388875,4.6011912550998115,4.210230864556322,0.005903751458625607,0.0062703780347879295,0.005642948062396083
-1.0,8.0,4.481841140718219,4.715997401049576,4.257903424842011,0.004646263219558264,0.004966720313942265,0.00434826266728651
